DATE,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,WORKING_CAP,CHNG_WC,CASH_INVESTMENTS,DEBT
2018-03-01,54481.0,50801.0,3680.0,896.0,27050.0,45789.0
2017-12-01,50829.0,48045.0,2784.0,470.0,24963.0,44487.0
2017-09-01,60197.0,57883.0,2314.0,808.0,30986.0,44147.0
2017-06-01,48578.0,47072.0,1506.0,1019.0,24310.0,43186.0
2017-03-01,41007.0,40520.0,487.0,-1574.0,21451.0,23619.0
2016-12-01,39460.0,37399.0,2061.0,96.0,21531.0,21599.0
2016-09-01,45781.0,43816.0,1965.0,-146.0,25981.0,20410.0
2016-06-01,35609.0,33498.0,2111.0,-522.0,18347.0,18988.0
2016-03-01,32220.0,29587.0,2633.0,307.0,16540.0,17860.0
2015-12-01,30513.0,28187.0,2326.0,508.0,15859.0,17612.0
2015-09-01,35705.0,33887.0,1818.0,-374.0,19808.0,17539.0
2015-06-01,28849.0,26657.0,2192.0,-287.0,14428.0,9360.0
2015-03-01,26391.0,23912.0,2479.0,-266.0,14001.0,9509.0
2014-12-01,25922.0,23177.0,2745.0,-493.0,13781.0,9634.0
2014-09-01,31327.0,28089.0,3238.0,5508.0,17416.0,16089.0
2014-06-01,18572.0,20842.0,-2270.0,-2274.0,6883.0,3963.0
2014-03-01,18755.0,18751.0,4.0,-966.0,7986.0,3979.0
2013-12-01,19327.0,18357.0,970.0,-675.0,8666.0,3931.0
2013-09-01,24625.0,22980.0,1645.0,446.0,12447.0,6889.0
2013-06-01,17334.0,16135.0,1199.0,-351.0,7689.0,3723.0
2013-03-01,16285.0,14735.0,1550.0,-431.0,7463.0,3733.0
2012-12-01,16313.0,14332.0,1981.0,-313.0,7895.0,3692.0
2012-09-01,21296.0,19002.0,2294.0,1781.0,11448.0,4964.0
2012-06-01,13118.0,12605.0,513.0,-316.0,5248.0,0.0
2012-03-01,11793.0,10964.0,829.0,-837.0,4970.0,0.0
2011-12-01,12154.0,10488.0,1666.0,-928.0,5715.0,0.0
2011-09-01,17490.0,14896.0,2594.0,-332.0,9576.0,1939.0
2011-06-01,11904.0,8978.0,2926.0,-308.0,6326.0,0.0
2011-03-01,11279.0,8045.0,3234.0,-324.0,6355.0,0.0
2010-12-01,11288.0,7730.0,3558.0,183.0,6881.0,0.0
2010-09-01,13747.0,10372.0,3375.0,191.0,8762.0,678.0
2010-06-01,9559.0,6375.0,3184.0,316.0,5885.0,164.0
2010-03-01,8118.0,5250.0,2868.0,97.0,5108.0,132.0
2009-12-01,7964.0,5193.0,2771.0,338.0,5063.0,173.0
2009-09-01,9797.0,7364.0,2433.0,601.0,6366.0,381.0
2009-06-01,6369.0,4537.0,1832.0,164.0,4001.0,116.0
2009-03-01,5304.0,3636.0,1668.0,303.0,3212.0,109.0
2008-12-01,4775.0,3410.0,1365.0,-46.0,2730.0,133.0
2008-09-01,6157.0,4746.0,1411.0,125.0,3727.0,664.0
2008-06-01,4430.0,3144.0,1286.0,266.0,2324.0,435.0
2008-03-01,4236.0,3216.0,1020.0,606.0,2380.0,874.0
2007-12-01,3965.0,3551.0,414.0,-1036.0,2151.0,1373.0
2007-09-01,5164.0,3714.0,1450.0,345.0,3112.0,1325.0
2007-06-01,3424.0,2319.0,1105.0,182.0,1909.0,1273.0
2007-03-01,2859.0,1936.0,923.0,170.0,1665.0,1272.0
2006-12-01,2600.0,1847.0,753.0,-88.0,1420.0,1251.0
2006-09-01,3373.0,2532.0,841.0,294.0,2019.0,1298.0
2006-06-01,2315.0,1768.0,547.0,-226.0,1219.0,1374.0
2006-03-01,2231.0,1458.0,773.0,-6.0,1419.0,1367.0
2005-12-01,2186.0,1407.0,779.0,-221.0,1334.0,1261.0
2005-09-01,2929.0,1929.0,1000.0,192.0,2000.0,1526.0
2005-06-01,2121.0,1313.0,808.0,26.0,1419.0,1530.0
2005-03-01,1926.0,1144.0,782.0,62.0,1325.0,1529.0
2004-12-01,1793.0,1073.0,720.0,-198.9960000000001,1151.0,1563.0
2004-09-01,2539.396,1620.4,918.9960000000001,277.23479999999995,1779.199,1857.7
2004-06-01,1692.7841,1051.0229,641.7612000000001,-3.076799999999821,1184.7,1782.174
2004-03-01,1561.192,916.354,644.838,105.17499999999984,1151.351,1765.016
2003-12-01,1405.574,865.911,539.6630000000001,-28.444999999999823,998.141,1780.173
2003-09-01,1820.809,1252.701,568.108,-15.342000000000098,1409.6538999999998,1949.655
2003-06-01,1410.2,826.75,583.45,101.58000000000015,1077.6090000000002,2087.027
2003-03-01,1251.254,769.384,481.8699999999999,-164.04700000000025,1001.5360000000001,2082.4489
2002-12-01,1344.496,698.579,645.9170000000001,96.1990000000003,1096.0049999999999,2307.496
2002-09-01,1615.676,1065.958,549.7179999999998,141.10889999999995,1315.9751,2290.6229000000003
2002-06-01,1119.6071,710.998,408.6090999999999,25.56409999999994,881.164,2277.9799
2002-03-01,1043.577,660.532,383.04499999999996,85.80199999999991,838.867,2232.832
2001-12-01,954.273,657.03,297.24300000000005,10.736999999999966,762.028,2166.2309
2001-09-01,1207.92,921.414,286.5060000000001,44.42800000000011,1014.557,2171.1251
2001-06-01,870.276,628.198,242.07799999999997,80.96100000000001,693.447,2188.2180000000003
2001-03-01,809.357,648.24,161.11699999999996,-89.88300000000004,633.6980000000001,2145.0641
2000-12-01,855.71,604.71,251.0,-135.1729999999999,694.015,2138.161
2000-09-01,1361.129,974.956,386.1729999999999,-117.81500000000017,1140.6989999999998,2144.0411000000004
2000-06-01,1163.085,659.097,503.98800000000006,-199.79600000000005,973.369,2099.9100000000003
1999-12-01,1270.949,567.165,703.7840000000001,430.54100000000005,1159.663,2152.944
1999-09-01,1012.178,738.935,273.24300000000005,-449.1539999999999,850.923,1480.6599999999999
1999-06-01,1080.068,357.671,722.3969999999999,-256.6170000000002,1102.002,1474.979
1999-03-01,1256.958,277.944,979.0140000000001,-344.67899999999986,1144.237,1459.097
1998-12-01,1525.278,201.585,1323.693,1061.014,1442.965,1541.0481
1998-09-01,424.254,161.575,262.67900000000003,-12.522999999999968,381.185,348.824
1998-06-01,374.657,99.455,275.202,-22.31499999999994,337.842,341.17900000000003
1998-03-01,369.441,71.924,297.51699999999994,213.10199999999995,340.203,333.09000000000003
1997-12-01,132.893,48.478,84.41499999999999,-8.069000000000003,116.82,77.386
1997-09-01,137.035,44.551,92.484,59.63499999999999,124.932,78.202
1997-06-01,52.697,19.848,32.849000000000004,-9.0,48.181,0.181
1997-03-01,59.206,17.357,41.849000000000004,41.77,56.392,0.181
1996-12-01,9.038,8.959,0.07900000000000063,,7.162,0.0
