DATE,CAPEX,FREE_CASH_FLOW
2018-03-01,2949.0,4206.0
2017-12-01,2727.0,-4889.0
2017-09-01,3036.0,8725.0
2017-06-01,2659.0,1192.0
2017-03-01,2501.0,737.0
2016-12-01,1861.0,-3767.0
2016-09-01,2005.0,8573.0
2016-06-01,1841.0,2818.0
2016-03-01,1711.0,1867.0
2015-12-01,1179.0,-3132.0
2015-09-01,1309.0,7503.0
2015-06-01,1195.0,1415.0
2015-03-01,1213.0,784.0
2014-12-01,871.0,-2370.0
2014-09-01,1144.0,5571.0
2014-06-01,1378.0,388.0
2014-03-01,1290.0,-428.0
2013-12-01,1080.0,-3582.0
2013-09-01,880.0,4698.0
2013-06-01,1038.0,350.0
2013-03-01,855.0,25.0
2012-12-01,670.0,-3042.0
2012-09-01,2025.0,3056.0
2012-06-01,716.0,227.0
2012-03-01,657.0,-63.0
2011-12-01,386.0,-2824.0
2011-09-01,550.0,3719.0
2011-06-01,529.0,268.0
2011-03-01,433.0,-10.0
2010-12-01,298.0,-1884.0
2010-09-01,328.0,3152.0
2010-06-01,315.0,540.0
2010-03-01,196.0,54.0
2009-12-01,140.0,-1238.0
2009-09-01,137.0,2473.0
2009-06-01,103.0,696.0
2009-03-01,78.0,390.0
2008-12-01,55.0,-640.0
2008-09-01,101.0,1470.0
2008-06-01,102.0,322.0
2008-03-01,69.0,278.0
2007-12-01,61.0,-706.0
2007-09-01,73.0,1076.0
2007-06-01,69.0,168.0
2007-03-01,47.0,252.0
2006-12-01,34.0,-313.0
2006-09-01,50.0,695.0
2006-06-01,62.0,68.0
2006-03-01,58.0,72.0
2005-12-01,46.0,-349.0
2005-09-01,56.0,574.0
2005-06-01,76.0,77.0
2005-03-01,46.0,198.0
2004-12-01,26.0,-320.0
2004-09-01,36.755,520.812
2004-06-01,28.722,87.923
2004-03-01,14.143,128.893
2003-12-01,9.513,-260.201
2003-09-01,17.236,463.727
2003-06-01,15.192,21.625
2003-03-01,7.141,118.883
2002-12-01,6.394,-258.176
2002-09-01,15.516,357.063
2002-06-01,11.353,26.755
2002-03-01,7.44,-2.803
2001-12-01,4.854,-245.887
2001-09-01,7.534,341.586
2001-06-01,12.925,-77.328
2001-03-01,10.425,-7.9399999999999995
2000-12-01,19.437,-426.421
2000-09-01,37.331,226.628
2000-06-01,41.948,-45.636
2000-03-01,28.878,-82.907
1999-12-01,26.601,-346.979
1999-09-01,105.196,-73.69
1999-06-01,70.762,-146.335
1999-03-01,92.035,-121.649
1998-12-01,19.062,-36.256
1998-06-01,11.065,-14.308
1998-03-01,5.643,-3.508
1997-12-01,2.071,-8.626
1997-09-01,3.168,4.145
1997-06-01,1.814,-8.211
1997-03-01,1.313,0.09
1996-12-01,0.926,0.277
