DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-03-01,52886.0,49903.0,6613.0,74.0
2017-12-01,51042.0,49115.0,5598.0,287.0
2017-09-01,60453.0,58326.0,5625.0,16.0
2017-06-01,43744.0,43397.0,3259.0,58.0
2017-03-01,37955.0,37327.0,3261.0,467.0
2016-12-01,35714.0,34709.0,3440.0,229.0
2016-09-01,43741.0,42486.0,3552.0,414.0
2016-06-01,32714.0,32139.0,2659.0,229.0
2016-03-01,30404.0,29119.0,3194.0,307.0
2015-12-01,29128.0,28057.0,2898.0,475.0
2015-09-01,35747.0,34639.0,2860.0,453.0
2015-06-01,25358.0,24952.0,2005.0,161.0
2015-03-01,23185.0,22721.0,1968.0,266.0
2014-12-01,22717.0,22462.0,1681.0,71.0
2014-09-01,29328.0,28737.0,1970.0,205.0
2014-06-01,20579.0,20953.0,873.0,-205.0
2014-03-01,19340.0,19355.0,1094.0,94.0
2013-12-01,19741.0,19595.0,1156.0,73.0
2013-09-01,25587.0,25077.0,1473.0,179.0
2013-06-01,17092.0,17117.0,809.0,-12.0
2013-03-01,15704.0,15625.0,835.0,13.0
2012-12-01,16070.0,15889.0,881.0,-18.0
2012-09-01,21268.0,20863.0,1067.0,194.0
2012-06-01,13806.0,13834.0,526.0,83.0
2012-03-01,12834.0,12627.0,692.0,109.0
2011-12-01,13185.0,12993.0,649.0,43.0
2011-09-01,17431.0,17171.0,619.0,86.0
2011-06-01,10876.0,10797.0,357.0,67.0
2011-03-01,9913.0,9712.0,445.0,49.0
2010-12-01,9857.0,9535.0,524.0,89.0
2010-09-01,12948.0,12474.0,644.0,84.0
2010-06-01,7560.0,7292.0,418.0,79.0
2010-03-01,6566.0,6296.0,399.0,88.0
2009-12-01,7131.0,6737.0,513.0,100.0
2009-09-01,9519.0,9043.0,588.0,85.0
2009-06-01,5449.0,5198.0,347.0,60.0
2009-03-01,4651.0,4441.0,301.0,39.0
2008-12-01,4889.0,4645.0,333.0,69.0
2008-09-01,6704.0,6432.0,349.0,79.0
2008-06-01,4264.0,4110.0,230.0,59.0
2008-03-01,4063.0,3846.0,287.0,46.0
2007-12-01,4135.0,3937.0,263.0,62.0
2007-09-01,5673.0,5402.0,334.0,74.0
2007-06-01,3262.0,3139.0,184.0,44.0
2007-03-01,2886.0,2770.0,176.0,33.0
2006-12-01,3015.0,2870.0,207.0,33.0
2006-09-01,3986.0,3790.0,255.0,91.0
2006-06-01,2307.0,2267.0,103.0,19.0
2006-03-01,2139.0,2092.0,90.0,32.0
2005-12-01,2279.0,2173.0,146.0,45.0
2005-09-01,2977.0,2812.0,202.0,-38.0
2005-06-01,1858.0,1803.0,85.0,21.0
2005-03-01,1753.0,1649.0,130.0,56.0
2004-12-01,1902.0,1794.0,136.0,56.0
2004-09-01,2540.959,2371.367,190.423,-232.581
2004-06-01,1462.475,1381.201,100.357,0.0
2004-03-01,1387.3409,1308.217,97.253,0.0
2003-12-01,1530.349,1419.9140000000002,128.116,0.0
2003-09-01,1945.772,1808.0160999999998,156.364,0.0
2003-06-01,1134.4561,1082.525,70.269,0.0
2003-03-01,1099.912,1058.089,60.826,0.0
2002-12-01,1083.559,1044.334,58.975,0.0
2002-09-01,1428.61,1363.245,86.141,0.0
2002-06-01,851.299,824.1869999999999,48.825,0.0
2002-03-01,805.605,804.133,23.816,0.0
2001-12-01,847.422,835.674,34.658,0.0
2001-09-01,1115.171,1093.398,80.357,0.0
2001-06-01,639.281,705.621,-4.71,0.0
2001-03-01,667.625,748.815,-9.566,0.0
2000-12-01,700.356,802.704,-28.444,0.0
2000-09-01,972.36,1110.404,-62.002,0.0
2000-06-01,637.858,789.582,-45.582,0.0
1999-12-01,573.889,769.762,-81.086,0.0
1999-09-01,676.042,758.222,90.871,0.0
1999-06-01,355.777,521.107,-69.588,0.0
1999-03-01,314.377,423.448,-100.969,0.0
1998-12-01,293.643,345.222,-46.356,0.0
1998-09-01,252.778,270.774,-10.66,0.0
1998-06-01,153.698,174.692,-20.015,0.0
1998-03-01,115.977,132.973,-15.426,0.0
1997-12-01,87.375,96.249,-7.084,0.0
1997-09-01,66.011,75.865,-8.463,0.0
1997-06-01,37.887,47.073,-8.573,0.0
1997-03-01,27.855,34.922,-6.103,0.0
1996-12-01,16.005,19.107,-2.682,0.0
