DATE,WADS
2018-03-01,500.0
2017-12-01,498.0
2017-09-01,496.0
2017-06-01,494.0
2017-03-01,492.0
2016-12-01,490.0
2016-09-01,486.0
2016-06-01,485.0
2016-03-01,483.0
2015-12-01,481.0
2015-09-01,481.0
2015-06-01,478.0
2015-03-01,476.0
2014-12-01,465.0
2014-09-01,472.0
2014-06-01,463.0
2014-03-01,461.0
2013-12-01,468.0
2013-09-01,467.0
2013-06-01,457.0
2013-03-01,456.0
2012-12-01,463.0
2012-09-01,461.0
2012-06-01,460.0
2012-03-01,458.0
2011-12-01,460.0
2011-09-01,462.0
2011-06-01,461.0
2011-03-01,460.0
2010-12-01,459.0
2010-09-01,458.0
2010-06-01,456.0
2010-03-01,455.0
2009-12-01,454.0
2009-09-01,450.0
2009-06-01,441.0
2009-03-01,440.0
2008-12-01,437.0
2008-09-01,436.0
2008-06-01,436.0
2008-03-01,430.0
2007-12-01,426.0
2007-09-01,427.0
2007-06-01,425.0
2007-03-01,423.0
2006-12-01,420.0
2006-09-01,424.0
2006-06-01,424.0
2006-03-01,426.0
2005-12-01,426.0
2005-09-01,426.0
2005-06-01,428.0
2005-03-01,425.0
2004-12-01,423.0
2004-09-01,425.034
2004-06-01,424.777
2004-03-01,424.678
2003-12-01,424.519
2003-09-01,425.214
2003-06-01,422.802
2003-03-01,418.138
2002-12-01,411.091
2002-09-01,407.056
2002-06-01,379.65
2002-03-01,376.937
2001-12-01,373.031
2001-09-01,384.045
2001-06-01,368.052
2001-03-01,359.752
2000-12-01,357.424
2000-09-01,355.681
2000-06-01,353.954
1999-12-01,343.884
1999-09-01,338.389
1999-06-01,332.488
1999-03-01,322.34
1998-12-01,313.794
1998-09-01,308.778
1998-06-01,301.404
1998-03-01,287.862
1997-12-01,279.732
1997-09-01,286.62
1997-06-01,275.196
1997-03-01,255.804
1996-12-01,232.824
