DATE,PRICE
2018-03-01,1699.8
2017-12-01,1447.34
2017-09-01,1169.47
2017-06-01,961.35
2017-03-01,968.0
2016-12-01,886.54
2016-09-01,749.87
2016-06-01,837.31
2016-03-01,715.62
2015-12-01,593.64
2015-09-01,675.89
2015-06-01,511.89
2015-03-01,434.09
2014-12-01,372.1
2014-09-01,310.35
2014-06-01,322.44
2014-03-01,324.78
2013-12-01,336.365
2013-09-01,398.79
2013-06-01,312.64
2013-03-01,277.69
2012-12-01,266.49
2012-09-01,250.87
2012-06-01,254.32
2012-03-01,228.35
2011-12-01,202.51
2011-09-01,173.1
2011-06-01,216.23
2011-03-01,204.49
2010-12-01,180.13
2010-09-01,180.0
2010-06-01,157.06
2010-03-01,109.26
2009-12-01,135.77
2009-09-01,134.52
2009-06-01,93.36
2009-03-01,83.66
2008-12-01,73.44
2008-09-01,51.28
2008-06-01,72.76
2008-03-01,73.33
2007-12-01,71.3
2007-09-01,92.64
2007-06-01,93.15
2007-03-01,68.41
2006-12-01,39.79
2006-09-01,39.46
2006-06-01,32.12
2006-03-01,38.68
2005-12-01,36.53
2005-09-01,47.15
2005-06-01,45.3
2005-03-01,33.09
2004-12-01,34.27
2004-09-01,44.29
2004-06-01,40.86
2004-03-01,54.4
2003-12-01,43.28
2003-09-01,52.62
2003-06-01,48.43
2003-03-01,36.32
2002-12-01,26.03
2002-09-01,18.89
2002-06-01,15.93
2002-03-01,16.25
2001-12-01,14.3
2001-09-01,10.82
2001-06-01,5.97
2001-03-01,14.15
2000-12-01,10.23
2000-09-01,15.563
2000-06-01,38.438
2000-03-01,36.313
1999-12-01,67.0
1999-09-01,76.125
1999-06-01,79.938
1999-03-01,62.563
1998-12-01,86.094
1998-06-01,18.604
1998-03-01,16.625
1997-12-01,7.128
1997-09-01,5.021
1997-06-01,4.339
1997-03-01,1.542
