DATE,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,WORKING_CAP,CHNG_WC,CASH_INVESTMENTS,DEBT
2018-06-01,115761.0,88548.0,27213.0,-13520.0,243743.0,114600.0
2018-03-01,130053.0,89320.0,40733.0,12711.0,267226.0,121840.0
2017-12-01,143810.0,115788.0,28022.0,191.0,285097.0,122400.0
2017-09-01,128645.0,100814.0,27831.0,-3742.0,268895.0,115680.0
2017-06-01,112875.0,81302.0,31573.0,2925.0,261516.0,108339.0
2017-03-01,101990.0,73342.0,28648.0,9446.0,256841.0,98522.0
2016-12-01,103332.0,84130.0,19202.0,-8661.0,246090.0,87549.0
2016-09-01,106869.0,79006.0,27863.0,5588.0,237585.0,87032.0
2016-06-01,93761.0,71486.0,22275.0,2948.0,231520.0,84935.0
2016-03-01,87592.0,68265.0,19327.0,19200.0,232928.0,79872.0
2015-12-01,76219.0,76092.0,127.0,-8641.0,215739.0,62963.0
2015-09-01,89378.0,80610.0,8768.0,3100.0,205666.0,64328.0
2015-06-01,70953.0,65285.0,5668.0,-3494.0,202848.0,54418.0
2015-03-01,67891.0,58729.0,9162.0,-630.0,193539.0,43871.0
2014-12-01,83403.0,73611.0,9792.0,4709.0,177955.0,36403.0
2014-09-01,68531.0,63448.0,5083.0,-16661.0,155239.0,35295.0
2014-06-01,67949.0,46205.0,21744.0,-5589.0,164490.0,31040.0
2014-03-01,70541.0,43208.0,27333.0,755.0,150589.0,16962.0
2013-12-01,80347.0,53769.0,26578.0,-3050.0,158842.0,16961.0
2013-09-01,73286.0,43658.0,29628.0,-2272.0,146761.0,16960.0
2013-06-01,68219.0,36319.0,31900.0,4071.0,146620.0,16958.0
2013-03-01,63337.0,35508.0,27829.0,2360.0,144687.0,0.0
2012-12-01,72348.0,46879.0,25469.0,6358.0,137112.0,0.0
2012-09-01,57653.0,38542.0,19111.0,228.0,121251.0,0.0
2012-06-01,51943.0,33060.0,18883.0,207.0,117221.0,0.0
2012-03-01,50712.0,32036.0,18676.0,-1488.0,110176.0,0.0
2011-12-01,54771.0,34607.0,20164.0,3146.0,97601.0,0.0
2011-09-01,44988.0,27970.0,17018.0,-3021.0,81570.0,0.0
2011-06-01,46898.0,26859.0,20039.0,-2631.0,76156.0,0.0
2011-03-01,46997.0,24327.0,22670.0,2538.0,65767.0,0.0
2010-12-01,43927.0,23795.0,20132.0,-824.0,59707.0,0.0
2010-09-01,41678.0,20722.0,20956.0,535.0,51011.0,0.0
2010-06-01,36033.0,15612.0,20421.0,314.0,45839.0,0.0
2010-03-01,32336.0,12229.0,20107.0,-128.0,41704.0,0.0
2009-12-01,33332.0,13097.0,20235.0,186.0,39820.0,0.0
2009-09-01,31555.0,11506.0,20049.0,1540.0,33992.0,0.0
2009-06-01,35170.0,16661.0,18509.0,-1593.0,31121.0,0.0
2009-03-01,33853.0,13751.0,20102.0,-304.0,28878.0,0.0
2008-12-01,35163.0,14757.0,20406.0,1761.0,28145.0,0.0
2008-09-01,30006.0,11361.0,18645.0,-78.0,24490.0,0.0
2008-06-01,26843.0,8120.0,18723.0,1713.0,20774.0,0.0
2008-03-01,25773.0,8763.0,17010.0,1356.0,19448.0,0.0
2007-12-01,26189.0,10535.0,15654.0,3059.0,18448.0,0.0
2007-09-01,21701.0,9106.0,12595.0,804.0,15386.0,0.0
2007-06-01,18657.0,6866.0,11791.0,1204.0,13767.0,0.0
2007-03-01,15998.0,5411.0,10587.0,1253.0,12577.0,0.0
2006-12-01,16658.0,7324.0,9334.0,1296.0,11869.0,0.0
2006-09-01,14509.0,6471.0,8038.0,570.0,10110.0,0.0
2006-06-01,12491.0,5023.0,7468.0,638.0,9176.0,0.0
2006-03-01,11286.0,4456.0,6830.0,-272.0,8226.0,0.0
2005-12-01,12162.0,5060.0,7102.0,289.0,8707.0,0.0
2005-09-01,10300.0,3487.0,6813.0,560.0,8261.0,0.0
2005-06-01,9376.0,3123.0,6253.0,598.0,7526.0,0.0
2005-03-01,9007.0,3352.0,5655.0,557.0,7057.0,0.0
2004-12-01,8322.0,3224.0,5098.0,723.0,6448.0,0.0
2004-09-01,7055.0,2680.0,4375.0,244.0,5464.0,0.0
2004-06-01,6286.0,2155.0,4131.0,327.0,4966.0,0.0
2004-03-01,5784.0,1980.0,3804.0,157.00024399999984,4594.0,0.0
2003-12-01,6029.0,2382.000244,3646.999756,116.99975600000016,4791.0,302.0
2003-09-01,5887.0,2357.0,3530.0,9.0,4566.0,304.0
2003-06-01,5546.0,2025.0,3521.0,60.0,4545.0,307.0
2003-03-01,5468.0,2007.0,3461.0,-328.0,4554.0,310.0
2002-12-01,5384.0,1595.0,3789.0,59.0,4490.0,320.0
2002-09-01,5388.0,1658.0,3730.0,5.0,4376.0,316.0
2002-06-01,5443.0,1718.0,3725.0,20.0,4354.0,316.0
2002-03-01,5414.0,1709.0,3705.0,12.0,4388.0,311.0
2001-12-01,5272.0,1579.0,3693.0,68.0,4468.0,315.0
2001-09-01,5143.0,1518.0,3625.0,-9.0,4464.0,317.0
2001-06-01,5248.0,1614.0,3634.0,84.0,4364.0,317.0
2001-03-01,5345.0,1795.0,3550.0,261.0,4295.0,317.0
2000-12-01,4926.0,1637.0,3289.0,-205.0,4512.0,311.0
2000-09-01,5427.0,1933.0,3494.0,210.0,4813.0,300.0
2000-06-01,5157.0,1873.0,3284.0,225.0,5062.0,300.0
2000-03-01,4912.0,1853.0,3059.0,115.0,5153.0,300.0
1999-12-01,4909.0,1965.0,2944.0,208.0,3660.0,300.0
1999-09-01,4285.0,1549.0,2736.0,-23.0,3226.0,300.0
1999-06-01,4298.0,1539.0,2759.0,211.0,3106.0,300.0
1999-03-01,4092.0,1544.0,2548.0,165.0,2922.0,955.0
1998-12-01,3867.0,1484.0,2383.0,205.0,2578.0,954.0
1998-09-01,3698.0,1520.0,2178.0,192.0,2300.0,954.0
1998-06-01,3375.0,1389.0,1986.0,157.0,1993.0,953.0
1998-03-01,3213.0,1384.0,1829.0,125.0,1823.0,976.0
1997-12-01,3373.0,1669.0,1704.0,98.0,1627.0,976.0
1997-09-01,3424.0,1818.0,1606.0,23.0,1459.0,976.0
1997-06-01,3493.0,1910.0,1583.0,-48.0,1230.0,1078.0
1997-03-01,3642.0,2011.0,1631.0,-744.0,1459.0,1085.0
1996-12-01,4419.0,2044.0,2375.0,-137.0,1807.0,1130.0
1996-09-01,4515.0,2003.0,2512.0,-16.0,1745.0,1135.0
1996-06-01,4454.0,1926.0,2528.0,524.0,1359.0,1136.0
1996-03-01,4277.0,2273.0,2004.0,-842.0,592.0,655.0
1995-12-01,5551.0,2705.0,2846.0,-53.0,1100.0,802.0
1995-09-01,5224.0,2325.0,2899.0,-114.0,952.0,764.0
1995-06-01,5191.0,2178.0,3013.0,95.0,1676.0,709.0
1995-03-01,5161.0,2243.0,2918.0,135.0,1986.0,931.0
1994-12-01,4718.0,1935.0,2783.0,250.85290599999962,1587.0,513.0
1994-09-01,4476.452148,1944.305054,2532.1470940000004,189.64538500000026,1257.856037,596.671997
1994-06-01,4259.98877,1917.487061,2342.501709,92.77783199999976,1228.293945,820.422973
1994-03-01,4421.793945,2172.070068,2249.7238770000004,369.877930000001,1105.988943,795.597992
1993-12-01,4208.006836,2328.160889,1879.8459469999993,56.692870999999286,1122.774994,752.257019
1993-09-01,4338.35498,2515.201904,1823.153076,0.0280760000000555,892.303024,823.182007
1993-06-01,3920.371094,2097.246094,1823.125,-362.0089109999999,856.811005,308.178986
1993-03-01,3654.636963,1469.503052,2185.133911,19.62988299999961,1079.377014,59.921001
1992-12-01,3703.322998,1537.81897,2165.5040280000003,32.63000500000044,1445.866028,190.587006
1992-09-01,3558.394043,1425.52002,2132.874023,67.42895399999998,1435.5,184.460999
1992-06-01,3423.1521,1357.707031,2065.445069,59.43090899999993,1475.562989,180.203995
1992-03-01,3256.943115,1250.928955,2006.01416,205.21813900000006,1335.855042,136.261993
1991-12-01,3071.550049,1270.754028,1800.7960209999999,154.2369389999999,988.497986,45.736
1991-09-01,2863.610107,1217.051025,1646.559082,105.03613300000006,892.718964,148.565994
1991-06-01,2828.333984,1286.811035,1541.522949,-275.1701660000001,889.743973,156.326996
1991-03-01,2812.860107,996.166992,1816.693115,344.95703100000014,1041.294007,5.998
1990-12-01,2544.009033,1072.272949,1471.736084,95.46520999999962,983.713974,23.0
1990-09-01,2403.325928,1027.055054,1376.2708740000003,-75.815247,997.091004,122.629997
1990-06-01,2338.974121,886.888,1452.0861210000003,-43.352965999999924,1043.777008,24.896999
1990-03-01,2269.736084,774.296997,1495.4390870000002,62.559998000000405,995.838989,19.973
1989-12-01,2325.549072,892.669983,1432.8790889999998,,907.863007,67.899002
