DATE,CAPEX,FREE_CASH_FLOW
2018-06-01,3267,11221
2018-03-01,4041,10935
2017-12-01,2964,25483
2017-09-01,4000,11791
2017-06-01,2151,6442
2017-03-01,3015,9548
2016-12-01,3420,23900
2016-09-01,4038,12149
2016-06-01,2905,7825
2016-03-01,2599,9265
2015-12-01,4006,23851
2015-09-01,3658,9857
2015-06-01,2089,12945
2015-03-01,2476,16712
2014-12-01,3265,30505
2014-09-01,3852,9424
2014-06-01,2431,7877
2014-03-01,1486,12156
2013-12-01,2044,20685
2013-09-01,2306,7953
2013-06-01,2016,5943
2013-03-01,2299,10496
2012-12-01,2455,21109
2012-09-01,3501,5675
2012-06-01,2963,8133
2012-03-01,1509,12520
2011-12-01,1429,16233
2011-09-01,4571,8784
2011-06-01,962,10331
2011-03-01,656,5595
2010-12-01,1263,8559
2010-09-01,813,4923
2010-06-01,626,4206
2010-03-01,301,2056
2009-12-01,381,5405
2009-09-01,472,2651
2009-06-01,272,2024
2009-03-01,116,741
2008-12-01,353,3599
2008-12-01,353,3599
2008-09-01,403,3892
2008-09-01,403,3892
2008-06-01,304,1017
2008-03-01,320,873
2007-12-01,224,2563
2007-09-01,205,1491
2007-06-01,283,944
2007-03-01,110,624
2006-12-01,137,1671
2006-09-01,145,910
2006-06-01,237,770
2006-03-01,275,-117
2005-12-01,82,201
2005-09-01,96,656
2005-06-01,63,409
2005-03-01,101,1210
2004-12-01,58,717
2004-09-01,59,384
2004-06-01,38,173
2004-03-01,35,26
2003-12-01,44,175
2003-09-01,58,15
2003-06-01,46,-38
2003-03-01,40,58
2002-12-01,20,90
2002-09-01,64,18
2002-06-01,31,-68
2002-03-01,43,-41
2001-12-01,36,6
2001-09-01,163,112
2001-06-01,30,-63
2001-03-01,17,-61
2000-12-01,22,-35
2000-09-01,31,127
2000-06-01,10,223
2000-03-01,17,34
1999-12-01,38,335
1999-09-01,14,202
1999-06-01,6,81
1999-03-01,-1,250
1998-12-01,5,218
1998-09-01,7,306
1998-06-01,-17,139
1998-03-01,5,148
1997-12-01,-38,136
1997-09-01,11,187
1997-06-01,6,-210
1997-03-01,18,82
1996-12-01,18,72
1996-09-01,12,395
1996-06-01,15,274
1996-03-01,9,-373
1995-12-01,31,156
1995-09-01,49,-722
1995-06-01,59,-86
1995-03-01,29,-22
1994-12-01,22,431
1994-09-01,0,0
1994-06-01,0,0
1994-03-01,0,0
1993-12-01,0,0
1993-09-01,0,0
1993-06-01,0,0
1993-03-01,0,0
1992-12-01,0,0
1992-09-01,0,0
1992-06-01,0,0
1992-03-01,0,0
1991-12-01,0,0
1991-09-01,0,0
1991-06-01,0,0
1991-03-01,0,0
1990-12-01,0,0
1990-09-01,0,0
1990-06-01,0,0
1990-03-01,0,0
1989-12-01,0,0
