DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-06-01,53265.0,40889.0,15041.0,1765.0
2018-03-01,61137.0,45243.0,18633.0,2346.0
2017-12-01,88293.0,62019.0,29019.0,6965.0
2017-09-01,51939.0,39459.0,14964.0,3203.0
2017-06-01,45408.0,34640.0,13122.0,2591.0
2017-03-01,52896.0,38799.0,16429.0,3655.0
2016-12-01,78351.0,54992.0,26346.0,6289.0
2016-09-01,46852.0,35091.0,14309.0,3174.0
2016-06-01,42358.0,32253.0,12631.0,2673.0
2016-03-01,50557.0,36570.0,16464.0,3626.0
2015-12-01,75324.0,51701.0,26577.0,6212.0
2015-09-01,51501.0,36878.0,17742.0,3938.0
2015-06-01,49605.0,35522.0,17167.0,3796.0
2015-03-01,58010.0,39732.0,20757.0,4995.0
2014-12-01,74599.0,50353.0,26821.0,6392.0
2014-09-01,42123.0,30958.0,13134.0,3005.0
2014-06-01,37432.0,27150.0,12228.0,2736.0
2014-03-01,45646.0,32053.0,15480.0,3595.0
2013-12-01,57594.0,40131.0,19607.0,4637.0
2013-09-01,37472.0,27442.0,11813.0,2631.0
2013-06-01,35323.0,26122.0,10895.0,2535.0
2013-03-01,43603.0,31045.0,14250.0,3358.0
2012-12-01,54512.0,37302.0,18798.0,4594.0
2012-09-01,35966.0,25022.0,11925.0,2670.0
2012-06-01,35023.0,23450.0,12408.0,3037.0
2012-03-01,39186.0,23802.0,16124.0,3910.0
2011-12-01,46333.0,28993.0,18061.0,4413.0
2011-09-01,28270.0,19560.0,9253.0,2168.0
2011-06-01,28571.0,19192.0,9860.0,2243.0
2011-03-01,24667.0,16793.0,8308.0,1913.0
2010-12-01,26741.0,18914.0,8183.0,1959.0
2010-09-01,20343.0,14896.0,5776.0,1153.0
2010-06-01,15700.0,11466.0,4507.0,1039.0
2010-03-01,13499.0,9520.0,4195.0,955.0
2009-12-01,15683.0,10958.0,4934.0,1380.0
2009-09-01,12207.0,8523.0,3887.0,1197.0
2009-06-01,9734.0,7102.0,2814.0,864.0
2009-03-01,9084.0,6761.0,2504.0,766.0
2008-12-01,11880.0,8779.0,3269.0,1004.0
2008-09-01,11520.0,8374.0,3292.0,1039.0
2008-06-01,7561.0,6026.0,1655.0,522.0
2008-03-01,7980.0,6532.0,1568.0,509.0
2007-12-01,9608.0,7482.0,2232.0,745.0
2007-09-01,6606.0,5591.0,1118.0,315.0
2007-06-01,5563.0,4484.0,1160.0,394.0
2007-03-01,5286.0,4298.0,1057.0,362.0
2006-12-01,7123.0,5798.0,1399.0,440.0
2006-09-01,4837.0,4229.0,674.0,179.0
2006-06-01,4370.0,3804.0,623.0,189.0
2006-03-01,4359.0,3830.0,631.0,195.0
2005-12-01,5749.0,4999.0,802.0,266.0
2005-09-01,3678.0,3266.0,463.0,48.0
2005-06-01,3520.0,3094.0,472.0,153.0
2005-03-01,3243.0,2841.0,484.0,145.0
2004-12-01,3490.0,3087.0,444.0,134.0
2004-09-01,2350.0,2217.0,173.0,41.0
2004-06-01,2014.0,1934.0,121.0,24.0
2004-03-01,1909.0,1847.0,98.0,18.0
2003-12-01,2006.0,1932.0,107.0,24.0
2003-09-01,1715.0,1684.0,51.0,14.0
2003-06-01,1545.0,1536.0,40.0,7.0
2003-03-01,1475.0,1476.0,29.0,5.0
2002-12-01,1472.0,1486.0,17.0,-2.0
2002-09-01,1443.0,1458.0,18.0,-15.0
2002-06-01,1429.0,1416.0,41.0,7.0
2002-03-01,1495.0,1467.0,57.0,15.0
2001-12-01,1375.0,1355.0,48.0,15.0
2001-09-01,1450.0,1397.0,83.0,28.0
2001-06-01,1475.0,1433.0,68.0,26.0
2001-03-01,1431.0,1439.0,14.0,19.0
2000-12-01,1007.0,1427.0,-396.0,-88.0
2000-09-01,1870.0,1786.0,102.0,59.0
2000-06-01,1825.0,1657.0,193.0,70.0
2000-03-01,1945.0,1775.0,191.0,86.0
1999-12-01,2343.0,2145.0,218.0,91.0
1999-09-01,1336.0,1269.0,86.0,14.0
1999-06-01,1558.0,1454.0,123.0,26.0
1999-03-01,1530.0,1442.0,112.0,18.0
1998-12-01,1710.0,1583.0,150.0,17.0
1998-09-01,1556.0,1447.0,132.0,8.0
1998-06-01,1402.0,1334.0,100.0,8.0
1998-03-01,1405.0,1354.0,79.0,4.0
1997-12-01,1578.0,1538.0,68.0,0.0
1997-09-01,1614.0,1647.0,8.0,0.0
1997-06-01,1737.0,1797.0,-38.0,0.0
1997-03-01,1601.0,1787.0,-156.0,0.0
1996-12-01,2129.0,2253.0,-99.0,0.0
1996-09-01,2321.0,2315.0,52.0,15.0
1996-06-01,2179.0,2295.0,-94.0,-19.0
1996-03-01,2185.0,3160.0,-929.0,-435.0
1995-12-01,3148.0,3267.0,-77.0,-40.0
1995-09-01,3003.0,2931.0,95.0,35.0
1995-06-01,2575.0,2419.0,193.0,61.0
1995-03-01,2652.0,2486.0,195.0,43.0
1994-12-01,2832.0,2565.0,305.0,111.0
1994-09-01,2493.285889,2429.729981,109.175999,70.272003
1994-06-01,2149.907959,1917.4869999999999,274.099007,84.641998
1994-03-01,2076.699951,2041.964996,72.789001,10.668
1993-12-01,2468.854004,2404.146973,107.313,24.525999
1993-09-01,2140.789062,2133.6359860000002,49.630001,1.634
1993-06-01,1861.979004,1847.789002,55.583001,-115.418999
1993-03-01,1973.894043,1804.828002,211.907993,67.969002
1992-12-01,2000.291992,1759.506958,280.186005,98.886002
1992-09-01,1767.734009,1636.046021,191.714005,59.827
1992-06-01,1740.171021,1539.109985,258.188004,80.697998
1992-03-01,1716.025024,1505.619995,260.673001,82.791
1991-12-01,1862.612061,1599.9580690000003,312.414994,101.752998
1991-09-01,1507.061035,1385.8079830000001,179.222999,49.792999
1991-06-01,1528.604004,1393.4019779999999,188.635994,-32.518002
1991-03-01,1597.677979,1411.1329959999998,232.442997,80.380997
1990-12-01,1675.505981,1447.114014,275.522999,92.247002
1990-09-01,1354.089966,1213.575012,201.298999,62.958
1990-06-01,1364.76001,1182.518982,232.098999,76.570999
1990-03-01,1346.202026,1147.030029,243.462997,84.277
1989-12-01,1493.383057,1303.299011,237.836998,79.816002
