,WADS
2018-06-01,4926.609
2018-03-01,5068.493
2017-12-01,5157.787
2017-09-01,5183.585
2017-06-01,5233.499
2017-03-01,5261.688
2016-12-01,5327.995
2016-09-01,5393.333
2016-06-01,5472.781
2016-03-01,5540.886
2015-12-01,5594.127
2015-09-01,5682.519
2015-06-01,5773.099
2015-03-01,5834.858
2014-12-01,5881.803
2014-09-01,5972.082
2014-06-01,6051.711
2014-03-01,6156.696
2013-12-01,6310.164
2013-09-01,6363.917
2013-06-01,6469.855
2013-03-01,6622.245
2012-12-01,6630.519
2012-09-01,6637.302
2012-06-01,6629.413
2012-03-01,6614.251
2011-12-01,6591.004
2011-09-01,6576.619
2011-06-01,6564.67
2011-03-01,6551.608
2010-12-01,6532.078
2010-09-01,6501.775
2010-06-01,6491.527
2010-03-01,6460.146
2009-12-01,6438.481
2009-09-01,6400.618
2009-06-01,6364.12
2009-03-01,6320.951
2008-12-01,6310.458
2008-09-01,6333.502
2008-06-01,6322.169
2008-03-01,6295.303
2007-12-01,6300.378
2007-09-01,6269.662
2007-06-01,6234.697
2007-03-01,6206.571
2006-12-01,6183.079
2006-09-01,6151.299
2006-06-01,6134.576
2006-03-01,6149.759
2005-12-01,6119.449
2005-09-01,6065.381
2005-06-01,6025.621
2005-03-01,5999.077
2004-12-01,5867.218
2004-09-01,5640.684082
2004-06-01,5496.694031
2004-03-01,5295.220154
2003-12-01,5212.312196
2003-09-01,5190.262024
2003-06-01,5092.878113
2003-03-01,5071.402161
2002-12-01,5053.300171
2002-09-01,5052.25
2002-06-01,5136.347839
2002-03-01,5123.565918
2001-12-01,5005.126038
2001-09-01,4991.349916
2001-06-01,5024.767822
2001-03-01,4939.368164
2000-12-01,4720.380188
2000-09-01,5064.975952
2000-06-01,5065.437805
2000-03-01,5095.803888
1999-12-01,4995.676208
1999-09-01,4950.288147
1999-06-01,4890.199829
1999-03-01,4849.711853
1998-12-01,4817.735901
1998-09-01,4817.539795
1998-06-01,4810.007874
1998-03-01,4085.619812
1997-12-01,3915.492126
1997-09-01,3572.996056
1997-06-01,3542.0
1997-03-01,3517.052032
1996-12-01,3486.895935
1996-09-01,3494.932
1996-06-01,3464.580028
1996-03-01,3462.451916
1995-12-01,3443.832084
1995-09-01,3492.747916
1995-06-01,3449.684084
1995-03-01,3434.031916
1994-12-01,3404.799944
1994-09-01,3364.984028
1994-06-01,3328.080017
1994-03-01,3330.432007
1993-12-01,3274.768036
1993-09-01,3264.57608
1993-06-01,3238.731964
1993-03-01,3385.311981
1992-12-01,3392.367944
1992-09-01,3318.895944
1992-06-01,3442.235888
1992-03-01,3473.176
1991-12-01,3419.696112
1991-09-01,3302.264112
1991-06-01,3354.96
1991-03-01,3419.780056
1990-12-01,3301.900084
1990-09-01,3290.364
1990-06-01,3485.411888
1990-03-01,3554.85199
1989-12-01,3625.888056
