,PRICE
2018-06-01,185.11
2018-03-01,167.78
2017-12-01,169.23
2017-09-01,154.12
2017-06-01,144.02
2017-03-01,143.66
2016-12-01,115.82
2016-09-01,112.71
2016-06-01,93.4
2016-03-01,105.67
2015-12-01,108.03
2015-09-01,114.71
2015-06-01,126.75
2015-03-01,123.25
2014-12-01,113.99
2014-09-01,100.75
2014-06-01,91.98
2014-03-01,76.694286
2013-12-01,80.012857
2013-09-01,68.964286
2013-06-01,56.647143
2013-03-01,63.237143
2012-12-01,72.798455
2012-09-01,95.300714
2012-06-01,83.428571
2012-03-01,85.65
2011-12-01,57.857143
2011-09-01,57.757143
2011-06-01,46.621429
2011-03-01,50.22
2010-12-01,46.228571
2010-09-01,41.76
2010-06-01,38.1
2010-03-01,32.985714
2009-12-01,29.862857
2009-09-01,26.052857
2009-06-01,20.348571
2009-03-01,15.264286
2008-12-01,12.258571
2008-12-01,12.258571
2008-09-01,18.32
2008-06-01,24.298571
2008-03-01,20.43
2007-12-01,28.547143
2007-09-01,21.924286
2007-06-01,17.434286
2007-03-01,13.272857
2006-12-01,12.12
2006-09-01,10.997143
2006-06-01,8.181429
2006-03-01,8.96
2005-12-01,10.27
2005-09-01,7.6
2005-06-01,5.394286
2005-03-01,6.071429
2004-12-01,4.572143
2004-09-01,2.663571
2004-06-01,2.407143
2004-03-01,1.931429
2003-12-01,1.484286
2003-09-01,1.477857
2003-06-01,1.337857
2003-03-01,1.040714
2002-12-01,1.004286
2002-09-01,1.051429
2002-06-01,1.265714
2002-03-01,1.690714
2001-12-01,1.602143
2001-09-01,1.107857
2001-06-01,1.660714
2001-03-01,1.576429
2000-12-01,1.0625
2000-09-01,1.839286
2000-06-01,3.741071
2000-03-01,4.850446
1999-12-01,3.696429
1999-09-01,2.319196
1999-06-01,1.506696
1999-03-01,1.1875
1998-12-01,1.401786
1998-09-01,1.383929
1998-06-01,1.006696
1998-03-01,0.962054
1997-12-01,0.475446
1997-09-01,0.761161
1997-06-01,0.524554
1997-03-01,0.665179
1996-12-01,0.825893
1996-09-01,0.796875
1996-06-01,0.75
1996-03-01,0.877232
1995-12-01,1.138393
1995-09-01,1.330357
1995-06-01,1.658482
1995-03-01,1.258929
1994-12-01,1.383929
1994-09-01,1.203125
1994-06-01,0.919643
1994-03-01,1.1875
1993-12-01,1.044643
1993-09-01,0.892857
1993-06-01,1.428571
1993-03-01,1.901786
1992-12-01,2.107143
1992-09-01,1.625
1992-06-01,1.625
1992-03-01,2.178571
1991-12-01,1.964286
1991-09-01,1.75
1991-06-01,1.482143
1991-03-01,2.428571
1990-12-01,1.535714
1990-09-01,1.035714
1990-06-01,1.598214
1990-03-01,1.4375
1989-12-01,1.258929
1989-09-01,1.589286
1989-06-01,1.446429
1989-03-01,1.21875
