DATE,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,WORKING_CAP,CHNG_WC,CASH_INVESTMENTS,DEBT
2018-03-01,86401,77725,8676,-2335.0,13790,12118
2017-12-01,86543,75532,11011,2119.0,13892,12452
2017-09-01,65161,56269,8892,-841.0,13992,11117
2017-06-01,64142,54409,9733,-189.0,14341,10768
2017-03-01,62831,52909,9922,-2664.0,15002,10775
2016-12-01,62367,49781,12586,232.0,14051,10799
2016-09-01,62488,50134,12354,-1394.0,15119,9952
2016-06-01,62237,48489,13748,100.0,14372,10456
2016-03-01,63507,49859,13648,-2422.0,13486,11015
2015-12-01,65587,49517,16070,-1752.0,12629,9964
2015-09-01,68234,50412,17822,8054.0,16694,9964
2015-06-01,67576,57808,9768,98.0,14365,9016
2015-03-01,66806,57136,9670,-1495.0,14056,9016
2014-12-01,66421,55256,11165,-8369.0,14086,9038
2014-09-01,67767,48233,19534,7520.0,17617,9070
2014-06-01,65218,53204,12014,-174.0,14627,8880
2014-03-01,65527,53339,12188,-87.0,15706,8883
2013-12-01,64777,52502,12275,-1313.0,16712,8935
2013-09-01,65074,51486,13588,-894.0,20089,9635
2013-06-01,64162,49680,14482,121.0,20982,9596
2013-03-01,61310,46949,14361,537.0,19482,9578
2012-12-01,59490,45666,13824,1497.0,16940,9171
2012-09-01,57309,44982,12327,1401.0,18794,10409
2012-06-01,53778,42852,10926,1768.0,16395,11186
2012-03-01,51608,42450,9158,332.0,15379,11201
2011-12-01,50131,41305,8826,290.0,15692,11624
2011-09-01,49810,41274,8536,-218.0,16611,12371
2011-06-01,46347,37593,8754,1771.0,14655,12380
2011-03-01,44353,37370,6983,1231.0,14136,11628
2010-12-01,41009,35257,5752,575.0,13183,11689
2010-09-01,40572,35395,5177,-39.0,16023,12421
2010-06-01,39454,34238,5216,977.0,15689,12419
2010-03-01,38327,34088,4239,925.0,16118,12946
2009-12-01,36798,33484,3314,922.0,16665,12943
2009-09-01,35275,32883,2392,4214.0,17719,12924
2009-06-01,30227,32049,-1822,-670.0,13489,11038
2009-03-01,30120,31272,-1152,1009.0,11927,9116
2008-12-01,27804,29965,-2161,2800.0,11565,9272
2008-09-01,25964,30925,-4961,60.0,10464,7512
2008-06-01,24341,29362,-5021,487.0,14483,7607
2008-03-01,25937,31445,-5508,-1023.0,17758,8156
2007-12-01,28201,32686,-4485,-227.0,20009,8230
2007-09-01,27280,31538,-4258,-19.0,20196,8217
2007-06-01,26628,30867,-4239,365.0,20442,8580
2007-03-01,25523,30127,-4604,1315.0,18962,8655
2006-12-01,22510,28429,-5919,799.0,17553,8747
2006-09-01,22983,29701,-6718,566.0,18991,9538
2006-06-01,22376,29660,-7284,-98.0,17276,10131
2006-03-01,23171,30357,-7186,-561.0,19932,10461
2005-12-01,22763,29388,-6625,-405.0,19718,11024
2005-09-01,21968,28188,-6220,737.0,8818,10727
2005-06-01,19159,26116,-6957,-776.0,17687,10862
2005-03-01,18243,24424,-6181,-225.0,15062,11032
2004-12-01,17445,23401,-5956,-221.0,17033,11780
2004-09-01,15100,20835,-5735,-737.0,6573,12200
2004-06-01,16484,21482,-4998,-2096.0,4312,12370
2004-03-01,18069,20971,-2902,-1011.0,6184,13659
2003-12-01,16681,18572,-1891,-701.0,3950,14023
2003-09-01,17258,18448,-1190,2139.0,4633,14443
2003-06-01,15615,18944,-3329,-532.0,1733,14870
2003-03-01,16449,19246,-2797,-1077.0,1879,14588
2002-12-01,16714,18434,-1720,1235.0,1993,15008
2002-09-01,16855,19810,-2955,-542.0,2333,14403
2002-06-01,16611,19024,-2413,966.0,1702,13605
2002-03-01,15760,19139,-3379,-237.0,816,13156
2001-12-01,16073,19215,-3142,579.0,643,12876
2001-09-01,16845,20566,-3721,-314.0,633,12265
2001-06-01,17933,21340,-3407,-2823.0,1572,11653
2001-03-01,17189,17773,-584,351.0,1502,10590
2000-12-01,17171,18106,-935,1479.0,1552,8896
2000-09-01,16513,18927,-2414,-5493.0,1010,8799
2000-06-01,18097,15018,3079,899.0,6262,7773
2000-03-01,16842,14662,2180,-124.0,4872,6590
1999-12-01,16182,13878,2304,248.0,2727,6753
1999-09-01,15712,13656,2056,-493.0,3454,6732
1999-06-01,16720,14171,2549,-479.0,2773,6653
1999-03-01,17443,14415,3028,-317.0,3002,6907
1998-12-01,17280,13935,3345,392.0,2674,6983
1998-09-01,16375,13422,2953,-1746.0,7392,6972
1998-06-01,18300,13601,4699,-369.0,2714,6795
1998-03-01,18825,13757,5068,-136.0,3456,6803
1997-12-01,19186,13982,5204,93.0,4546,6849
1997-09-01,19263,14152,5111,-1697.0,5149,6854
1997-06-01,21152,14344,6808,418.0,5550,6961
1997-03-01,16495,10105,6390,377.0,6381,3935
1996-12-01,15772,9759,6013,-425.0,5514,3970
1996-09-01,15080,8642,6438,2.0,6352,3993
1996-06-01,13704,7268,6436,-117.0,6403,2354
1996-03-01,14004,7451,6553,280.0,6725,2359
1995-12-01,14005,7732,6273,510.0,5665,2361
1995-09-01,13178,7415,5763,606.0,5390,2615
1995-06-01,12305,7148,5157,962.0,4201,2617
1995-03-01,11576,7381,4195,927.0,3483,2620
1994-12-01,10737,7469,3268,-319.0,5911,2606
1994-09-01,10414,6827,3587,375.0,5714,2609
1994-06-01,9927,6715,3212,138.0,2596,2625
1994-03-01,10312,7238,3074,273.0,3409,2629
1993-12-01,9757,6956,2801,157.0,3840,2627
1993-09-01,9175,6531,2644,705.0,6067,2630
1993-06-01,8699,6760,1939,466.0,3080,2508
1993-03-01,8187,6714,1473,-409.0,3619,2263
1992-12-01,8508,6626,1882,-65.0,6001,1792
1992-09-01,8087,6140,1947,-874.0,5680,1793
1992-06-01,9977,7156,2821,408.0,6007,1738
1992-03-01,9220,6807,2413,-257.0,5680,1309
1991-12-01,9385,6715,2670,117.0,5221,1309
1991-09-01,8829,6276,2553,131.0,4636,1317
1991-06-01,9538,7116,2422,663.0,4660,953
1991-03-01,8916,7157,1759,43.0,4244,313
1990-12-01,9007,7291,1716,78.0,4287,314
1990-09-01,8770,7132,1638,-232.0,4446,315
1990-06-01,8608,6738,1870,-244.0,4862,314
1990-03-01,8895,6781,2114,128.0,4477,290
1989-12-01,8921,6935,1986,,3742,291
