DATE,CAPEX,FREE_CASH_FLOW
2018-03-01,418,4304
2017-12-01,367,2742
2017-09-01,373,2469
2017-06-01,263,2997
2017-03-01,554,4511
2016-12-01,457,1628
2016-09-01,575,2233
2016-06-01,594,2607
2016-03-01,669,2519
2015-12-01,737,483
2015-09-01,605,2496
2015-06-01,557,2298
2015-03-01,672,2605
2014-12-01,574,-486
2014-09-01,661,4330
2014-06-01,612,317
2014-03-01,447,1360
2013-12-01,482,615
2013-09-01,774,742
2013-06-01,481,2324
2013-03-01,444,3012
2012-12-01,488,3
2012-09-01,428,3672
2012-06-01,415,1168
2012-03-01,350,552
2011-12-01,420,413
2011-09-01,531,2360
2011-06-01,345,69
2011-03-01,340,1251
2010-12-01,403,-1370
2010-09-01,384,716
2010-06-01,259,1573
2010-03-01,238,9
2009-12-01,183,-471
2009-09-01,219,2991
2009-06-01,227,968
2009-03-01,296,705
2008-12-01,417,-249
2008-09-01,427,-2086
2008-06-01,422,-864
2008-03-01,391,-649
2007-12-01,400,1524
2007-09-01,412,1444
2007-06-01,412,2912
2007-03-01,397,3220
2006-12-01,451,277
2006-09-01,494,1853
2006-06-01,348,212
2006-03-01,319,2110
2005-12-01,295,1643
2005-09-01,439,2009
2005-06-01,289,213
2005-03-01,566,2091
2004-12-01,202,1086
2004-09-01,158,887
2004-06-01,332,343
2004-03-01,112,1337
2003-12-01,179,-259
2003-09-01,235,3369
2003-06-01,117,-343
2003-03-01,135,672
2002-12-01,68,-558
2002-09-01,379,896
2002-06-01,54,1150
2002-03-01,188,651
2001-12-01,223,538
2001-09-01,460,-251
2001-06-01,175,1200
2001-03-01,230,906
2000-12-01,172,850
2000-09-01,266,1783
2000-06-01,120,1540
2000-03-01,189,2853
1999-12-01,188,-1166
1999-09-01,164,2529
1999-06-01,368,894
1999-03-01,354,1129
1998-12-01,350,436
1998-09-01,371,1825
1998-06-01,377,-282
1998-03-01,346,-658
1997-12-01,490,-102
1997-09-01,385,-63
1997-06-01,460,-438
1997-03-01,253,935
1996-12-01,293,275
1996-09-01,219,285
1996-06-01,180,282
1996-03-01,203,643
1995-12-01,160,251
1995-09-01,91,-649
1995-06-01,157,193
1995-03-01,157,178
1994-12-01,224,715
1994-09-01,0,0
1994-06-01,0,0
1994-03-01,0,0
1993-12-01,0,0
1993-09-01,0,0
1993-06-01,0,0
1993-03-01,0,0
1992-12-01,0,0
1992-09-01,0,0
1992-06-01,0,0
1992-03-01,0,0
1991-12-01,0,0
1991-09-01,0,0
1991-06-01,0,0
1991-03-01,0,0
1990-12-01,0,0
1990-09-01,0,0
1990-06-01,0,0
1990-03-01,0,0
1989-12-01,0,0
