DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-03-01,24258,21527.0,3238.0,390
2017-12-01,23382,20491.0,3392.0,362
2017-09-01,25368,22321.0,3629.0,-160
2017-06-01,24309,21591.0,3240.0,794
2017-03-01,22739,20179.0,3054.0,708
2016-12-01,20976,18931.0,2516.0,508
2016-09-01,23286,20765.0,3067.0,472
2016-06-01,23898,21604.0,2768.0,-76
2016-03-01,24755,22148.0,3054.0,-245
2015-12-01,22632,20502.0,2573.0,522
2015-09-01,23573,21483.0,2574.0,73
2015-06-01,25849,23218.0,3068.0,783
2015-03-01,24543,21968.0,3028.0,513
2014-12-01,22149,20114.0,2494.0,610
2014-09-01,24468,22342.0,2654.0,464
2014-06-01,23784,21665.0,2597.0,669
2014-03-01,22045,20260.0,2237.0,64
2013-12-01,20465,18923.0,1990.0,494
2013-09-01,23785,21863.0,2443.0,201
2013-06-01,22130,20326.0,2262.0,567
2013-03-01,21815,20099.0,2152.0,546
2012-12-01,18893,17387.0,1935.0,332
2012-09-01,22302,20680.0,2120.0,557
2012-06-01,20008,18443.0,2030.0,432
2012-03-01,20005,18455.0,1972.0,479
2011-12-01,19383,17813.0,1996.0,539
2011-09-01,19555,17962.0,2027.0,57
2011-06-01,17727,16013.0,2131.0,548
2011-03-01,16543,15029.0,1943.0,483
2010-12-01,14910,13910.0,1380.0,295
2010-09-01,16550,15444.0,1563.0,-163
2010-06-01,16967,15513.0,1870.0,407
2010-03-01,15573,14265.0,1757.0,421
2009-12-01,15216,14038.0,1583.0,531
2009-09-01,17937,12384.761538,6019.238462,267
2009-06-01,16688,15352.0,1770.0,-687
2009-03-01,17154,15622.0,1913.0,499
2008-12-01,16502,15474.0,1412.0,317
2008-09-01,12664,12909.0,172.0,-224
2008-06-01,15293,14146.0,1497.0,470
2008-03-01,16962,15717.0,1607.0,448
2007-12-01,15990,14191.0,2161.0,647
2007-09-01,17477,16109.0,1763.0,561
2007-06-01,16517,14996.0,1859.0,482
2007-03-01,17028,15524.0,1901.0,536
2006-12-01,15365,14054.0,1667.0,481
2006-09-01,17541,16431.0,1532.0,259
2006-06-01,14739,13516.0,1592.0,294
2006-03-01,14986,14469.0,902.0,151
2005-12-01,14264,13303.0,1330.0,284
2005-09-01,15125,14610.0,888.0,144
2005-06-01,12629,12449.0,552.0,-201
2005-03-01,15028,14101.0,1330.0,241
2004-12-01,12987,12325.0,1017.0,70
2004-09-01,13314,13448.0,369.0,-196
2004-06-01,13152,12669.0,809.0,7
2004-03-01,13088,12310.0,1108.0,39
2003-12-01,12903,12092.0,1147.0,285
2003-09-01,13214,12570.0,1013.0,-111
2003-06-01,12241,11717.0,821.0,95
2003-03-01,12772,13091.0,99.0,-183
2002-12-01,12258,11734.0,890.0,31
2002-09-01,13695,12614.0,1574.0,259
2002-06-01,12690,12124.0,920.0,3
2002-03-01,13856,12653.0,1531.0,345
2001-12-01,13821,12806.0,1337.0,254
2001-09-01,15702,14644.0,1709.0,10
2001-06-01,13686,12569.0,1468.0,287
2001-03-01,15516,14171.0,1702.0,372
2000-12-01,13293,12097.0,1580.0,69
2000-09-01,14693,13464.0,1649.0,149
2000-06-01,11877,11027.0,1211.0,267
2000-03-01,14841,13928.0,1259.0,271
1999-12-01,9910,9385.0,877.0,184
1999-09-01,15200,14255.0,1387.0,291
1999-06-01,13279,12665.0,1015.0,206
1999-03-01,15122,14333.0,1189.0,317
1998-12-01,14392,13661.0,1133.0,201
1998-09-01,17099,32994.0,-32702.0,178
1998-06-01,12721,12278.0,864.0,57
1998-03-01,13389,12973.0,812.0,108
1997-12-01,12941,12840.0,509.0,23
1997-09-01,17822,16772.0,1298.0,-145
1997-06-01,11371,12350.0,-473.0,-325
1997-03-01,9289,8756.0,849.0,132
1996-12-01,7318,6877.0,725.0,175
1996-09-01,6512,6090.0,673.0,84
1996-06-01,5601,5307.0,538.0,80
1996-03-01,6275,5791.0,740.0,53
1995-12-01,4293,4139.0,394.0,51
1995-09-01,4539,4399.0,364.0,-49
1995-06-01,4381,4158.0,493.0,19
1995-03-01,5558,5245.0,587.0,-39
1994-12-01,5037,4811.0,491.0,36
1994-09-01,5120,4898.0,620.0,57
1994-06-01,5063,4837.0,487.0,49
1994-03-01,5396,5126.0,527.0,43
1993-12-01,6345,5912.0,659.0,138
1993-09-01,5656,5222.0,653.0,143
1993-06-01,5153,4907.0,496.0,84
1993-03-01,7985,7404.0,812.0,199
1992-12-01,6644,6214.0,683.0,151
1992-09-01,7497,7114.0,661.0,129
1992-06-01,6897,6428.0,711.0,165
1992-03-01,7823,7218.0,830.0,210
1991-12-01,7967,7384.0,799.0,198
1991-09-01,7753,7255.0,730.0,166
1991-06-01,7657,7147.0,726.0,168
1991-03-01,7813,7237.0,788.0,178
1990-12-01,6091,5721.0,536.0,125
1990-09-01,7015,6635.0,572.0,145
1990-06-01,7176,6787.0,532.0,165
1990-03-01,6969,6580.0,580.0,153
1989-12-01,6435,6063.0,524.0,124
