DATE,WADS
2018-03-01,588.7
2017-12-01,597.2
2017-09-01,605.1
2017-06-01,606.3
2017-03-01,609.6
2016-12-01,621.2
2016-09-01,620.153
2016-06-01,632.7
2016-03-01,636.3
2015-12-01,665.8
2015-09-01,681.2
2015-06-01,689.0
2015-03-01,698.9
2014-12-01,714.2
2014-09-01,724.8
2014-06-01,731.9
2014-03-01,740.1
2013-12-01,754.1
2013-09-01,768.4
2013-06-01,769.1
2013-03-01,771.8
2012-12-01,768.7
2012-09-01,768.3
2012-06-01,765.2
2012-03-01,762.0
2011-12-01,759.6
2011-09-01,757.1
2011-06-01,753.9
2011-03-01,752.6
2010-12-01,749.0
2010-09-01,747.0
2010-06-01,744.6
2010-03-01,742.9
2009-12-01,740.1
2009-09-01,723.9
2009-06-01,701.3
2009-03-01,707.4
2008-12-01,707.4
2008-09-01,706.0
2008-06-01,721.9
2008-03-01,732.8
2007-12-01,747.4
2007-09-01,761.0
2007-06-01,773.4
2007-03-01,777.0
2006-12-01,777.4
2006-09-01,782.5
2006-06-01,784.0
2006-03-01,761.3
2005-12-01,791.8
2005-09-01,804.0
2005-06-01,802.8
2005-03-01,807.4
2004-12-01,806.8
2004-09-01,809.09
2004-06-01,814.8
2004-03-01,812.3
2003-12-01,810.9
2003-09-01,809.2
2003-06-01,808.8
2003-03-01,800.1
2002-12-01,800.0
2002-09-01,807.8
2002-06-01,808.3
2002-03-01,808.1
2001-12-01,807.8
2001-09-01,805.8
2001-06-01,814.7
2001-03-01,845.1
2000-12-01,852.2
2000-09-01,867.2
2000-06-01,873.3
2000-03-01,867.1
1999-12-01,878.0
1999-09-01,896.0
1999-06-01,924.299988
1999-03-01,940.5
1998-12-01,945.188
1998-09-01,960.799988
1998-06-01,977.299988
1998-03-01,984.799988
1997-12-01,985.099976
1997-09-01,969.699982
1997-06-01,966.666992
1997-03-01,721.200012
1996-12-01,694.799988
1996-09-01,680.664
1996-06-01,687.0
1996-03-01,692.0
1995-12-01,689.599976
1995-09-01,686.799988
1995-06-01,685.0
1995-03-01,683.200012
1994-12-01,682.0
1994-09-01,681.8
1994-06-01,681.400024
1994-03-01,681.0
1993-12-01,680.599976
1993-09-01,679.8202
1993-06-01,679.599976
1993-03-01,679.200012
1992-12-01,678.97998
1992-09-01,682.54
1992-06-01,678.495972
1992-03-01,681.973999
1991-12-01,682.909973
1991-09-01,685.03992
1991-06-01,686.783997
1991-03-01,687.664001
1990-12-01,687.359985
1990-09-01,690.363984
1990-06-01,690.317993
1990-03-01,692.572021
1989-12-01,691.970993
