DATE,PRICE
2018-03-01,335.51
2017-12-01,327.88
2017-09-01,294.91
2017-06-01,254.21
2017-03-01,197.75
2016-12-01,176.86
2016-09-01,155.68
2016-06-01,131.74
2016-03-01,129.87
2015-12-01,126.94
2015-09-01,144.59
2015-06-01,130.95
2015-03-01,138.72
2014-12-01,150.08
2014-09-01,129.98
2014-06-01,127.38
2014-03-01,127.23
2013-12-01,125.49
2013-09-01,136.49
2013-06-01,117.5
2013-03-01,102.44
2012-12-01,85.85
2012-09-01,75.36
2012-06-01,69.595
2012-03-01,74.3
2011-12-01,74.37
2011-09-01,73.35
2011-06-01,60.51
2011-03-01,73.93
2010-12-01,73.93
2010-09-01,65.26
2010-06-01,66.54
2010-03-01,62.75
2009-12-01,72.61
2009-09-01,54.13
2009-06-01,54.15
2009-03-01,42.5
2008-12-01,35.58
2008-09-01,42.67
2008-06-01,57.35
2008-03-01,65.72
2007-12-01,74.37
2007-09-01,87.46
2007-06-01,104.99
2007-03-01,96.16
2006-12-01,88.91
2006-09-01,88.84
2006-06-01,78.85
2006-03-01,81.91
2005-12-01,77.93
2005-09-01,70.24
2005-06-01,67.95
2005-03-01,66.0
2004-12-01,58.46
2004-09-01,51.77
2004-06-01,51.62
2004-03-01,51.09
2003-12-01,41.07
2003-09-01,42.14
2003-06-01,34.33
2003-03-01,34.32
2002-12-01,25.06
2002-09-01,32.99
2002-06-01,34.13
2002-03-01,45.0
2001-12-01,48.25
2001-09-01,38.78
2001-06-01,33.5
2001-03-01,55.6
2000-12-01,55.71
2000-09-01,66.0
2000-06-01,64.5
2000-03-01,41.8125
1999-12-01,37.8125
1999-09-01,41.4375
1999-06-01,42.625
1999-03-01,44.0
1998-12-01,34.0
1998-09-01,32.625
1998-06-01,34.3125
1998-03-01,44.5625
1997-12-01,52.125
1997-09-01,48.9375
1997-06-01,54.4375
1997-03-01,53.0625
1996-12-01,49.3125
1996-09-01,53.25
1996-06-01,47.25
1996-03-01,43.5625
1995-12-01,43.3125
1995-09-01,39.1875
1995-06-01,34.125
1995-03-01,31.3125
1994-12-01,26.875
1994-09-01,23.5
1994-06-01,21.625
1994-03-01,23.125
1993-12-01,22.25
1993-09-01,21.625
1993-06-01,19.1875
1993-03-01,18.5
1992-12-01,17.5
1992-09-01,20.0625
1992-06-01,18.375
1992-03-01,19.9375
1991-12-01,21.9375
1991-09-01,23.875
1991-06-01,25.375
1991-03-01,22.875
1990-12-01,23.5
1990-09-01,22.6875
1990-06-01,20.8125
1990-03-01,29.25
1989-12-01,23.916667
