DATE,CAPEX,FREE_CASH_FLOW
2018-03-01,39.289,94.757
2017-12-01,39.154,-122.794
2017-09-01,61.533,43.743
2017-06-01,35.237,-11.892
2017-03-01,29.454,24.426
2016-12-01,41.369,74.938
2016-09-01,47.248,-14.117
2016-06-01,44.923,21.954
2016-03-01,42.689,33.574
2015-12-01,36.654,-52.002
2015-09-01,57.848,-23.658
2015-06-01,47.152,-7.767
2015-03-01,26.272,8.465
2014-12-01,30.724,-32.637
2014-09-01,22.518,18.928
2014-06-01,24.172,13.888
2014-03-01,19.117,-0.155
2013-12-01,16.856,-25.122
2013-09-01,16.155,5.166
2013-06-01,11.67,37.867
2013-03-01,11.39,26.078
2012-12-01,16.081,-34.169
2012-09-01,16.572,1.086
2012-06-01,10.668,37.47
2012-03-01,10.331,24.115
2011-12-01,14.333,-32.77
2011-09-01,0.111,24.299
2011-06-01,8.706,45.822
2011-03-01,23.087,-1.478
2010-12-01,19.48,-12.149
2010-09-01,16.768,16.813
2010-06-01,12.454,39.329
2010-03-01,19.898,-1.957
2009-12-01,6.915,-2.259
2009-09-01,10.223,7.604
2009-06-01,7.981,17.665
2009-03-01,10.739,15.421
2008-12-01,6.114,-4.526
2008-09-01,3.586,27.087999
2008-06-01,8.745,38.200001
2008-03-01,16.643001,14.619999
2007-12-01,14.661,-31.145
2007-09-01,16.740999,17.097002
2007-06-01,10.823,20.007
2007-03-01,12.096,10.168
2006-12-01,8.218,-5.995
2006-09-01,10.933,9.421999
2006-06-01,20.796,28.09
2006-03-01,13.522,15.339999
2005-12-01,15.474,-13.134
2005-09-01,13.331,7.113
2005-06-01,10.307,31.182
2005-03-01,5.517,22.324999
2004-12-01,6.394,1.481999
2004-09-01,13.845,-2.657
2004-06-01,12.514,14.365
2004-03-01,3.134,16.591
2003-12-01,10.381,18.351
2003-09-01,8.42,18.455
2003-06-01,14.225,17.949999
2003-03-01,18.251,22.13
2002-12-01,14.054,5.004
2002-09-01,19.944,-19.625
2002-06-01,11.28,56.603004
2002-03-01,11.118,27.655002
2001-12-01,7.469,10.008001
2001-09-01,8.895001,12.274999
2001-06-01,8.009,16.488999
2001-03-01,66.372997,-19.746998
2000-12-01,9.747,16.242
2000-09-01,2.017,-5.447
2000-06-01,10.058,23.368001
2000-03-01,8.357,21.734
1999-12-01,12.37,-4.533
1999-09-01,28.773,30.785
1999-06-01,21.01,15.084002
1999-03-01,27.543,-21.842
1998-12-01,186.06,-191.996
1998-09-01,11.683,8.304
1998-06-01,10.029,19.268999
1998-03-01,14.959,1.378
1997-12-01,8.896,-12.532
1997-09-01,9.548,17.481
1997-06-01,7.859,10.474999
1997-03-01,11.137,4.334
1996-12-01,70.337997,-63.726997
1996-09-01,8.588,-8.755
1996-06-01,6.75,11.612
1996-03-01,8.529,10.107999
1995-12-01,6.123,0.237
1995-09-01,-0.0,0.0
1995-06-01,-0.0,0.0
1995-03-01,-0.0,0.0
1994-12-01,-0.0,0.0
1994-09-01,-0.0,0.0
1994-06-01,-0.0,0.0
1994-03-01,-0.0,0.0
1993-12-01,-0.0,0.0
1993-09-01,-0.0,0.0
1993-06-01,-0.0,0.0
1993-03-01,-0.0,0.0
1992-12-01,-0.0,0.0
1992-09-01,-0.0,0.0
1992-06-01,-0.0,0.0
1992-03-01,-0.0,0.0
1991-12-01,-0.0,0.0
1991-09-01,-0.0,0.0
1991-06-01,-0.0,0.0
1991-03-01,-0.0,0.0
1990-12-01,-0.0,0.0
1990-09-01,-0.0,0.0
1990-06-01,-0.0,0.0
1990-03-01,-0.0,0.0
1989-12-01,-0.0,0.0
