DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-03-01,1227.272,1189.493,84.466,-0.135
2017-12-01,1072.064,1080.83,38.454,-12.971
2017-09-01,1126.149,1151.289,23.408,-51.641
2017-06-01,1162.526,1128.8020000000001,76.97,11.748
2017-03-01,1169.291,1100.163,111.194,3.743
2016-12-01,865.702,836.973,63.71,-3.691
2016-09-01,841.56,844.6610000000001,30.136,17.368
2016-06-01,849.028,809.2439999999999,70.841,13.121
2016-03-01,840.384,785.348,82.976,10.638
2015-12-01,625.456,585.4549999999999,64.39,-5.078
2015-09-01,619.716,596.005769,46.197231,2.904
2015-06-01,618.806,582.514846,57.326154,12.099
2015-03-01,614.683,578.1669999999999,56.233,17.562
2014-12-01,453.253,428.751,42.159,1.513
2014-09-01,440.638,421.986231,35.046769,1.747
2014-06-01,457.676,428.91100000000006,44.057,7.408
2014-03-01,459.473,428.3,46.047,8.589
2013-12-01,388.582,377.24699999999996,25.904,1.792
2013-09-01,394.337,381.27700000000004,27.826,-2.408
2013-06-01,434.464,404.264,45.05,4.756
2013-03-01,428.979,402.07,41.324,7.354
2012-12-01,383.551,367.573,30.618,2.44
2012-09-01,386.7,372.097,29.8,2.661
2012-06-01,419.855,393.454,41.739,7.191
2012-03-01,430.693,402.144,43.949,7.57
2011-12-01,377.185,358.552,34.282,4.467
2011-09-01,372.859,355.281,33.539,3.301
2011-06-01,405.858,379.055,42.638,4.892
2011-03-01,422.893,392.74,45.526,7.394
2010-12-01,359.629,339.79600000000005,34.782,3.941
2010-09-01,354.376,335.88199999999995,33.487,2.713
2010-06-01,395.364,364.587,45.414,7.61
2010-03-01,417.361,380.33,51.902,7.612
2009-12-01,347.498,329.951,32.207,3.714
2009-09-01,354.42,343.932,25.909,4.653
2009-06-01,374.556,349.065,40.743,1.043
2009-03-01,377.749,351.452,41.792,7.825
2008-12-01,336.261,317.83399999999995,33.627,3.06
2008-09-01,348.375,335.222,30.711,1.259
2008-06-01,381.562988,375.119995,23.289001,-0.523
2008-03-01,396.002991,359.796005,53.763,9.743
2007-12-01,337.674011,333.99899300000004,19.988,-2.085
2007-09-01,340.640015,332.039993,25.799,-0.678
2007-06-01,367.36,347.12,37.572,2.722
2007-03-01,390.443,357.94899999999996,66.289,7.34
2006-12-01,337.556,317.007,37.18,2.999
2006-09-01,340.575989,321.130997,36.532,-2.305
2006-06-01,370.626,348.794,38.767,3.305
2006-03-01,386.623993,357.386994,46.271999,6.358
2005-12-01,333.178986,319.029007,30.976999,0.559
2005-09-01,347.720001,331.090011,35.09,0.889
2005-06-01,358.414,330.323,43.999,6.093
2005-03-01,357.779999,323.597,51.309999,8.33
2004-12-01,306.256989,293.031005,30.830999,0.489
2004-09-01,329.453003,314.100006,35.329999,0.498
2004-06-01,321.336,298.145,40.226,4.899
2004-03-01,333.711,303.406,30.314,7.355
2003-12-01,282.727,267.227,33.947,1.95
2003-09-01,291.763,276.48199999999997,35.307,0.911
