DATE,WADS
2018-03-01,11.567
2017-12-01,11.539
2017-09-01,11.607
2017-06-01,11.607
2017-03-01,11.607
2016-12-01,11.497
2016-09-01,11.565
2016-06-01,11.565
2016-03-01,11.565
2015-12-01,11.455
2015-09-01,11.523
2015-06-01,11.523
2015-03-01,11.523
2014-12-01,11.493
2014-09-01,11.481
2014-06-01,11.481
2014-03-01,11.481
2013-12-01,11.451
2013-09-01,9.25
2013-06-01,11.439
2013-03-01,11.439
2012-12-01,11.411
2012-09-01,11.399
2012-06-01,11.399
2012-03-01,11.399
2011-12-01,11.367
2011-09-01,11.355
2011-06-01,11.355
2011-03-01,11.355
2010-12-01,11.323
2010-09-01,11.309
2010-06-01,11.309
2010-03-01,11.309
2009-12-01,11.279
2009-09-01,11.265
2009-06-01,11.265
2009-03-01,11.265
2008-12-01,11.491
2008-09-01,11.684
2008-06-01,11.644
2008-03-01,11.684
2007-12-01,11.644
2007-09-01,11.644
2007-06-01,9.144
2007-03-01,9.143
2006-12-01,9.131
2006-09-01,9.123
2006-06-01,9.123
2006-03-01,9.123
2005-12-01,9.112
2005-09-01,9.083
2005-06-01,9.083
2005-03-01,9.083
2004-12-01,9.083
2004-09-01,9.063
2004-06-01,9.063
2004-03-01,9.063
2003-12-01,9.063
2003-09-01,9.043
2003-06-01,9.043
2003-03-01,9.043
2002-12-01,9.043
2002-09-01,9.022
2002-06-01,8.924
2002-03-01,8.88
2001-12-01,8.857
2001-09-01,8.947
2001-06-01,8.818
2001-03-01,8.825
2000-12-01,8.753
2000-09-01,8.907
2000-06-01,8.811
2000-03-01,8.837
1999-12-01,8.733
1999-09-01,8.969
1999-06-01,8.86
1999-03-01,8.638
1998-12-01,8.365
1998-09-01,8.491
1998-06-01,8.499
1998-03-01,8.496
1997-12-01,8.493
1997-09-01,8.489
1997-06-01,8.467
1997-03-01,8.448
1996-12-01,8.624
1996-09-01,9.314
1996-06-01,9.338
1996-03-01,9.331
1995-12-01,9.329
1995-09-01,9.29
1995-06-01,9.294
1995-03-01,9.294
1994-12-01,9.294
1994-09-01,9.294
1994-06-01,9.294
1994-03-01,9.294
1993-12-01,9.294
1993-09-01,9.296
1993-06-01,9.294
1993-03-01,9.261
1992-12-01,9.181
1992-09-01,9.181
1992-06-01,9.181
1992-03-01,9.181
1991-12-01,9.181
1991-09-01,9.181
1991-06-01,9.181
1991-03-01,9.181
1990-12-01,9.181
1990-09-01,9.181
1990-06-01,9.181
1990-03-01,9.181
1989-12-01,9.181
