DATE,PRICE
2018-03-01,135.13
2017-12-01,172.67
2017-09-01,215.26
2017-06-01,215.75
2017-03-01,228.87
2016-12-01,206.02
2016-09-01,178.85
2016-06-01,148.16
2016-03-01,144.82
2015-12-01,159.76
2015-09-01,182.51
2015-06-01,189.13
2015-03-01,148.98
2014-12-01,111.57
2014-09-01,88.55
2014-06-01,73.87
2014-03-01,74.56
2013-12-01,85.25
2013-09-01,72.98
2013-06-01,63.36
2013-03-01,61.15
2012-12-01,60.98
2012-09-01,66.5
2012-06-01,68.1
2012-03-01,64.28
2011-12-01,62.74
2011-09-01,58.55
2011-06-01,55.46
2011-03-01,67.33
2010-12-01,66.79
2010-09-01,55.58
2010-06-01,52.94
2010-03-01,46.24
2009-12-01,58.45
2009-09-01,54.02
2009-06-01,48.8
2009-03-01,58.18
2008-12-01,51.5
2008-09-01,44.98
2008-06-01,43.44
2008-03-01,38.89
2007-12-01,60.46
2007-09-01,59.37
2007-06-01,60.3
2007-03-01,50.3
2006-12-01,56.63
2006-09-01,68.43
2006-06-01,61.98
2006-03-01,50.77
2005-12-01,46.0
2005-09-01,43.0
2005-06-01,48.94
2005-03-01,49.01
2004-12-01,51.93
2004-09-01,57.05
2004-06-01,52.5
2004-03-01,58.95
2003-12-01,51.3
2003-09-01,52.86
2003-06-01,51.11
2003-03-01,55.5
2002-12-01,51.879
2002-09-01,64.51
2002-06-01,47.5
2002-03-01,43.0
2001-12-01,49.0
2001-09-01,37.86
2001-06-01,37.75
2001-03-01,39.35
2000-12-01,40.4375
2000-09-01,37.875
2000-06-01,41.9375
2000-03-01,45.5
1999-12-01,52.9375
1999-09-01,47.375
1999-06-01,56.125
1999-03-01,56.125
1998-12-01,56.0
1998-09-01,57.5
1998-06-01,61.0
1998-03-01,67.25
1997-12-01,57.5625
1997-09-01,69.0
1997-06-01,57.0
1997-03-01,48.0
1996-12-01,43.5
1996-09-01,48.75
1996-06-01,38.0
1996-03-01,35.25
1995-12-01,33.75
1995-09-01,35.0
1995-06-01,35.25
1995-03-01,31.0
1994-12-01,29.25
1994-09-01,26.5
1994-06-01,28.75
1994-03-01,27.5
1993-12-01,28.0
1993-09-01,36.5
1993-06-01,34.0
1993-03-01,26.5
1992-12-01,20.0
1992-09-01,18.25
1992-06-01,18.0
1992-03-01,18.5
1991-12-01,18.0
1991-09-01,18.0
1991-06-01,20.0
1991-03-01,21.5
1990-12-01,24.5
1990-09-01,19.0
1990-06-01,18.0
1990-03-01,21.75
1989-12-01,23.75
1989-09-01,23.25
1989-06-01,28.5
1989-03-01,32.0
1988-12-01,26.0
1988-09-01,25.75
