DATE,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,WORKING_CAP,CHNG_WC,CASH_INVESTMENTS,DEBT
2018-03-01,18215.0,19007.0,-792.0,-366.0,9157.0,64580.0
2017-12-01,18753.0,19179.0,-426.0,5075.0,9510.0,66717.0
2017-09-01,16060.0,21561.0,-5501.0,-12.0,6813.0,64556.0
2017-06-01,15960.0,21449.0,-5489.0,1955.0,7458.0,64961.0
2017-03-01,14832.0,22276.0,-7444.0,-3615.0,6110.0,63568.0
2016-12-01,15245.0,19074.0,-3829.0,1345.0,7534.0,61785.0
2016-09-01,16361.0,21535.0,-5174.0,-2364.0,6172.0,61046.0
2016-06-01,15228.0,18038.0,-2810.0,14.0,5452.0,60428.0
2016-03-01,14777.0,17601.0,-2824.0,1080.0,7245.0,55563.0
2015-12-01,15180.0,19084.0,-3904.0,1971.0,8189.0,55634.0
2015-09-01,12303.0,18178.0,-5875.0,-17.0,4841.0,52621.0
2015-06-01,11501.0,17359.0,-5858.0,-1612.0,4552.0,47757.0
2015-03-01,13319.0,17565.0,-4246.0,1335.0,6629.0,48523.0
2014-12-01,12921.0,18502.0,-5581.0,-1702.0,6181.0,47133.0
2014-09-01,13531.0,17410.0,-3879.0,-731.0,6628.0,48234.0
2014-06-01,13936.0,17084.0,-3148.0,1455.0,7183.0,48350.0
2014-03-01,12772.0,17375.0,-4603.0,-843.0,5922.0,46549.0
2013-12-01,14043.0,17803.0,-3760.0,1077.0,7515.0,47400.0
2013-09-01,14075.0,18912.0,-4837.0,422.0,8072.0,47847.0
2013-06-01,13407.0,18666.0,-5259.0,608.0,8367.0,46525.0
2013-03-01,12735.0,18602.0,-5867.0,368.0,9371.0,46649.0
2012-12-01,11783.0,18018.0,-6235.0,-9512.0,8925.0,47226.0
2012-09-01,19991.0,16714.0,3277.0,2546.0,17576.0,40458.0
2012-06-01,18066.0,17335.0,731.0,5119.0,15116.0,38590.0
2012-03-01,11354.0,15742.0,-4388.0,1889.0,7637.0,37129.0
2011-12-01,9355.0,15632.0,-6277.0,-1609.0,7523.0,37785.0
2011-09-01,8573.0,13241.0,-4668.0,896.0,6594.0,39309.0
2011-06-01,8582.0,14146.0,-5564.0,-1217.0,9408.0,40970.0
2011-03-01,8350.0,12697.0,-4347.0,1853.0,10773.0,39559.0
2010-12-01,7547.0,13747.0,-6200.0,-6852.0,10496.0,40426.0
2010-09-01,8886.0,8234.0,652.0,2337.0,10542.0,31415.0
2010-06-01,7172.0,8857.0,-1685.0,414.0,8908.0,31038.0
2010-03-01,6591.0,8690.0,-2099.0,548.0,7914.0,30992.0
2009-12-01,5968.0,8615.0,-2647.0,1379.0,7491.0,30919.0
2009-09-01,3223.0,7249.0,-4026.0,-340.0,4327.0,29096.0
2009-06-01,3406.0,7092.0,-3686.0,334.0,4428.0,29447.0
2009-03-01,6537.0,10557.0,-4020.0,617.0,7036.0,33037.0
2008-12-01,4250.0,8887.0,-4637.0,586.0,4576.0,32062.0
2008-09-01,3716.0,8939.0,-5223.0,-1477.0,6037.0,32456.0
2008-06-01,5513.0,9259.0,-3746.0,-304.0,8120.0,33688.0
2008-03-01,4647.0,8089.0,-3442.0,857.0,7428.0,32513.0
2007-12-01,3104.0,7403.0,-4299.0,-14.0,6521.0,31359.0
2007-09-01,3667.0,7952.0,-4285.0,-2978.0,9024.0,31323.0
2007-06-01,5397.0,6704.0,-1307.0,1990.0,9237.0,31104.0
2007-03-01,3542.0,6839.0,-3297.0,-178.0,7434.0,28252.0
2006-12-01,4255.0,7374.0,-3119.0,-3119.0,8362.0,28271.0
2006-09-01,0.0,0.0,0.0,695.0,0.0,0.0
2006-06-01,5481.0,6176.0,-695.0,1529.0,10675.0,27219.0
2006-03-01,3540.0,5764.0,-2224.0,-522.0,13624.0,24123.0
2005-12-01,3998.0,5700.0,-1702.0,1973.0,14530.0,24130.0
2005-09-01,2594.0,6269.0,-3675.0,1124.0,13523.0,23371.0
2005-06-01,2363.0,7162.0,-4799.0,616.0,13804.0,22605.0
2005-03-01,3784.0,9199.0,-5415.0,451.0,15391.0,24130.0
2004-12-01,2930.0,8796.0,-5866.0,-766.0,14531.0,23172.0
2004-09-01,3535.0,8635.0,-5100.0,-565.0,14819.0,23592.0
2004-06-01,4382.0,8917.0,-4535.0,-322.0,16069.0,25231.0
2004-03-01,4418.0,8631.0,-4213.0,-181.00048799999968,17279.0,25777.0
2003-12-01,5260.000488,9292.0,-4031.9995120000003,219.00048799999968,17927.000244,26625.999756
2003-09-01,5403.0,9654.0,-4251.0,-1750.0,18861.0,26996.0
2003-06-01,7614.0,10115.0,-2501.0,1146.0,21690.0,30381.0
2003-03-01,5893.0,9540.0,-3647.0,111.0,16871.0,32339.0
2002-12-01,6488.0,10246.0,-3758.0,-3924.0,17365.0,32910.0
2002-09-01,2977.0,2811.0,166.0,-234.1000979999999,2019.0,9280.0
2002-06-01,3195.600098,2795.5,400.1000979999999,-679.3999020000001,1705.000015,10041.800393
2002-03-01,3460.0,2380.5,1079.5,-361.19970699999976,2342.9999390000003,10750.399994
2001-12-01,4229.799805,2789.100098,1440.6997069999998,21.199706999999762,3695.799927,11623.5
2001-09-01,4548.8,3129.3,1419.5,2224.199951,4652.4,12201.800000000001
2001-06-01,3429.800049,4234.5,-804.699951,-933.0998530000002,5232.600098,12049.199829000001
2001-03-01,4161.5,4033.100098,128.3999020000001,-804.5002440000003,5519.200074,11998.700195
2000-12-01,5023.200195,4090.300049,932.9001460000004,-169.2998539999994,6512.200135,10786.0
2000-09-01,5144.4,4042.2,1102.1999999999998,968.8997069999996,6373.1,10811.3
2000-06-01,5720.600098,5587.299805,133.30029300000024,-597.1997069999998,7853.200073,9923.900391
2000-03-01,4827.799805,4097.299805,730.5,-1808.600098,8819.799988,10365.499603
1999-12-01,6715.100098,4176.0,2539.100098,2539.100098,12135.39978,10934.399612000001
1999-09-01,0.0,0.0,0.0,-3249.3999029999995,0.0,0.0
1999-06-01,7341.299805,4091.899902,3249.3999029999995,-1037.5004879999997,8919.200073,6956.399994
1999-03-01,8972.400391,4685.5,4286.900390999999,178.7003909999985,9293.600097,7842.5001219999995
1998-12-01,7539.1,3430.9,4108.200000000001,2586.2000000000007,7705.6,6290.7
1998-06-01,3199.5,1677.5,1522.0,1442.5,2137.5,6703.799904
1998-03-01,1537.099976,1457.599976,79.5,-49.40000000000009,565.099976,6762.799904
1997-12-01,1663.7,1534.8,128.9000000000001,83.99997600000006,703.0,6756.299999999999
1997-09-01,1478.400024,1433.5,44.90002400000003,-191.69995100000006,577.600006,5466.400101
1997-06-01,1682.400024,1445.800049,236.5999750000001,-246.4000249999999,780.699982,6861.899994
1997-03-01,2285.800049,1802.800049,483.0,329.0999750000001,1408.999969,7413.000183
1996-12-01,1402.800049,1248.900024,153.9000249999999,113.0,540.799995,7464.199807
1996-09-01,1405.800049,1364.900024,40.900024999999914,-75.47204600000009,539.599991,7332.200195
1996-06-01,1257.33606,1140.963989,116.372071,-87.63586400000008,526.66201,7384.295120000001
1996-03-01,1243.06897,1039.061035,204.0079350000001,-212.74499500000002,541.589996,7263.66806
1995-12-01,1426.324951,1009.572021,416.7529300000001,-114.83605899999975,709.724991,7167.227921
1995-09-01,1653.657959,1122.06897,531.5889889999999,186.12097199999994,910.042969,7029.169113
1995-06-01,1491.535034,1146.067017,345.4680169999999,196.510986,828.432983,6868.553116
1995-03-01,1282.890991,1133.93396,148.95703099999992,104.8930049999999,688.82901,6731.528046
1994-12-01,1000.478027,956.414001,44.06402600000001,96.19604500000003,441.236012,6287.969178
1994-09-01,608.505981,660.638,-52.132019000000014,-226.7290040000001,465.45401,4993.45401
1994-06-01,659.961975,485.36499,174.59698500000007,206.46899400000012,537.908005,3957.723923
1994-03-01,419.354004,451.226013,-31.872009000000048,-170.44500700000003,313.522995,3905.0841060000002
1993-12-01,603.515991,464.942993,138.57299799999998,-43.432007,509.783005,4065.7119599999996
1993-09-01,776.570984,594.565979,182.00500499999998,25.191985999999986,1233.978012,4427.696045000001
1993-06-01,553.653015,396.839996,156.813019,110.44601400000005,1061.6789549999999,4165.9279400000005
1993-03-01,429.455994,383.088989,46.36700499999995,-172.52197200000006,346.013992,3964.532097
1992-12-01,612.432983,393.544006,218.888977,182.00295999999997,535.438995,4116.105011000001
1992-09-01,428.561005,391.674988,36.88601700000004,-62.67599499999994,653.611999,4060.718918
1992-06-01,473.480011,373.917999,99.56201199999998,114.73001099999999,392.658005,3058.8489529999997
1992-03-01,357.755005,372.923004,-15.167999000000009,-61.454008999999985,291.154999,2864.5640249999997
1991-12-01,412.091003,365.804993,46.286009999999976,-334.89697300000006,350.461998,2898.7569740000004
1991-09-01,645.48999,264.307007,381.18298300000004,60.653991000000076,838.663002,2259.5640329999997
1991-06-01,527.804993,207.276001,320.52899199999996,112.06398099999996,317.890999,2138.6890639999997
1991-03-01,384.049011,175.584,208.465011,-89.72497700000002,329.693008,2165.6971
1990-12-01,488.704987,190.514999,298.189988,233.71598900000004,444.450012,2259.181917
1990-09-01,251.457993,186.983994,64.47399899999999,-8.766998999999998,425.062996,2039.876007
1990-06-01,249.737,176.496002,73.24099799999999,-60.99400299999999,202.532005,2007.974941
1990-03-01,296.306,162.070999,134.23500099999998,3.0249939999999924,255.238998,2007.136945
1989-12-01,282.048004,150.837997,131.210007,,240.363007,1977.1209729999998
