DATE,CAPEX,FREE_CASH_FLOW
2018-03-01,2761.0,4813.0
2017-12-01,2392.0,3501.0
2017-09-01,3218.0,2731.0
2017-06-01,2838.0,2713.0
2017-03-01,2747.0,2831.0
2016-12-01,2494.0,3578.0
2016-09-01,3096.0,3170.0
2016-06-01,2832.0,1708.0
2016-03-01,2630.0,2002.0
2015-12-01,2263.0,3225.0
2015-09-01,3091.0,2328.0
2015-06-01,2416.0,2879.0
2015-03-01,2363.0,1553.0
2014-12-01,1999.0,3519.0
2014-09-01,2583.0,2447.0
2014-06-01,2226.0,2787.0
2014-03-01,2068.0,1253.0
2013-12-01,1665.0,3038.0
2013-09-01,2517.0,279.0
2013-06-01,2370.0,1874.0
2013-03-01,1768.0,1810.0
2012-12-01,2854.0,1697.0
2012-09-01,1989.0,1944.0
2012-06-01,1773.0,1842.0
2012-03-01,1517.0,2135.0
2011-12-01,1358.0,3219.0
2011-09-01,1971.0,2617.0
2011-06-01,1617.0,1842.0
2011-03-01,1444.0,2217.0
2010-12-01,1229.0,2362.0
2010-09-01,1696.0,1915.0
2010-06-01,1501.0,872.0
2010-03-01,1258.0,1291.0
2009-12-01,1042.0,1978.0
2009-09-01,1748.0,947.0
2009-06-01,1369.0,1385.0
2009-03-01,1229.0,1480.0
2008-12-01,1293.0,1352.0
2008-09-01,1713.0,1145.0
2008-06-01,1306.0,1139.0
2008-03-01,1300.0,1369.0
2007-12-01,1431.0,828.0
2007-09-01,1574.0,1110.0
2007-06-01,1526.0,192.0
2007-03-01,1604.0,821.0
2006-12-01,1454.0,511.0
2006-09-01,1344.0,142.0
2006-06-01,1197.0,692.0
2006-03-01,976.0,545.0
2005-12-01,878.0,844.0
2005-09-01,868.0,114.0
2005-06-01,911.0,512.0
2005-03-01,950.0,235.0
2004-12-01,892.0,440.0
2004-09-01,222.0,499.0
2004-06-01,1706.0,870.0
2004-03-01,904.0,955.000122
2003-12-01,828.0,-54.0
2003-09-01,1068.0,-733.0
2003-06-01,1052.0,-527.0
2003-03-01,1070.0,124.0
2002-12-01,958.0,-305.0
2002-09-01,332.1,558.2
2002-06-01,356.899994,592.800018
2002-03-01,390.0,141.0
2001-12-01,399.0,120.0
2001-09-01,490.5,-515.7
2001-06-01,532.299988,12.900024
2001-03-01,637.0,-185.5
2000-12-01,521.900024,-263.900024
2000-09-01,162.6,242.0
2000-06-01,448.0,193.0
2000-03-01,318.899994,-1.699982
1999-12-01,289.100006,-432.600006
1999-06-01,96.5,19.699997
1999-03-01,326.399994,1644.900055
1998-12-01,122.4,177.9
1998-09-01,214.100006,47.0
1998-06-01,265.200012,115.299988
1998-03-01,220.5,-85.5
1997-12-01,199.1,104.0
1997-09-01,113.5,-0.300003
1997-06-01,234.899994,70.800018
1997-03-01,267.100006,-28.100006
1996-12-01,180.0,17.399994
1996-09-01,220.195007,52.07898
1996-06-01,171.300003,66.854996
1996-03-01,167.503998,-6.444
1995-12-01,111.401001,16.709991
1995-09-01,-0.0,0.0
1995-06-01,-0.0,0.0
1995-03-01,-0.0,0.0
1994-12-01,-0.0,0.0
1994-09-01,-0.0,0.0
1994-06-01,-0.0,0.0
1994-03-01,-0.0,0.0
1993-12-01,-0.0,0.0
1993-09-01,-0.0,0.0
1993-06-01,-0.0,0.0
1993-03-01,-0.0,0.0
1992-12-01,-0.0,0.0
1992-09-01,-0.0,0.0
1992-06-01,-0.0,0.0
1992-03-01,-0.0,0.0
1991-12-01,-0.0,0.0
1991-09-01,-0.0,0.0
1991-06-01,-0.0,0.0
1991-03-01,-0.0,0.0
1990-12-01,-0.0,0.0
1990-09-01,-0.0,0.0
1990-06-01,-0.0,0.0
1990-03-01,-0.0,0.0
1989-12-01,-0.0,0.0
