DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-03-01,21735.0,17108.341772,7429.658228,1077.0
2017-12-01,22791.0,18146.0,7244.0,818.0
2017-09-01,21915.0,17808.0,6751.0,-11613.0
2017-06-01,20983.0,16633.0,7372.0,1413.0
2017-03-01,21165.0,16607.0,7099.0,1364.0
2016-12-01,20463.0,15933.0,7032.0,1258.0
2016-09-01,21025.0,16750.0,6771.0,1319.0
2016-06-01,21319.0,16829.0,6885.0,1400.0
2016-03-01,19269.0,15213.0,6445.0,1278.0
2015-12-01,18790.0,14701.0,6367.0,1311.0
2015-09-01,19245.0,15243.0,6272.0,1162.0
2015-06-01,18669.0,14668.0,6184.0,1223.0
2015-03-01,18743.0,14539.0,6345.0,1313.0
2014-12-01,17853.0,13864.0,6055.0,1261.0
2014-09-01,17732.0,13846.0,5976.0,1114.0
2014-06-01,16791.0,12969.0,5781.0,407.0
2014-03-01,16844.0,12996.0,5848.0,1234.0
2013-12-01,17408.0,13823.0,5555.0,1118.0
2013-09-01,16926.0,13279.0,5645.0,986.0
2013-06-01,16151.0,12737.0,5330.0,1021.0
2013-03-01,16270.0,12835.0,5425.0,1048.0
2012-12-01,15310.0,12243.0,5034.0,925.0
2012-09-01,15937.0,12643.0,5277.0,778.0
2012-06-01,16544.0,13496.0,5008.0,1405.0
2012-03-01,15211.0,12132.0,5004.0,811.0
2011-12-01,14878.0,12120.0,4688.0,750.0
2011-09-01,15042.0,12096.0,4944.0,801.0
2011-06-01,14339.0,11684.0,4588.0,639.0
2011-03-01,14333.0,11389.0,4807.0,1014.0
2010-12-01,12128.0,9797.0,4173.0,596.0
2010-09-01,9721.0,7543.0,3881.0,673.0
2010-06-01,9489.0,7514.0,3599.0,584.0
2010-03-01,9525.0,7425.0,3759.0,588.0
2009-12-01,9202.0,7253.0,3579.0,591.0
2009-09-01,9067.0,7149.0,3510.0,390.0
2009-06-01,8802.0,7091.0,3326.0,203.0
2009-03-01,8938.0,7063.0,3535.0,424.0
2008-12-01,8835.0,7024.0,3444.0,461.0
2008-09-01,8765.0,7008.0,3370.0,169.0
2008-06-01,8549.0,6879.0,3237.0,401.0
2008-03-01,8553.0,6803.0,3351.0,455.0
2007-12-01,8389.0,6834.0,3174.0,508.0
2007-09-01,8014.0,6556.0,3082.0,400.0
2007-06-01,7781.0,6390.0,2929.0,421.0
2007-03-01,7712.0,6244.0,3012.0,453.0
2006-12-01,7388.0,6127.0,2763.0,526.0
2006-09-01,7031.0,5915.0,2353.0,211.0
2006-06-01,6432.0,5208.0,2456.0,610.0
2006-03-01,6228.0,4999.0,2432.0,362.0
2005-12-01,5901.0,4851.0,2201.0,164.0
2005-09-01,5716.0,4823.0,2155.0,319.0
2005-06-01,5578.0,4695.0,2099.0,143.0
2005-03-01,5598.0,4550.0,2209.0,331.0
2004-12-01,5363.0,4497.0,2030.0,140.0
2004-09-01,5235.0,4524.0,1986.0,360.0
2004-06-01,5098.0,4411.9998780000005,1860.0,156.0
2004-03-01,5066.0,4214.0,1952.0,234.0
2003-12-01,4908.0,4249.0,1733.0,76.0
2003-09-01,4742.0,4000.0,1720.0,215.0
2003-06-01,4546.0,4053.0,1568.0,-103.0
2003-03-01,4594.0,4169.0,1645.0,13.0
2002-12-01,4466.0,4172.0,1428.0,-141.0
2002-09-01,4374.0,4045.0,796.7,82.0
2002-06-01,1698.0,1427.0,666.299988,27.0
2002-03-01,2704.0,2226.0,866.0,-33.0
2001-12-01,2667.0,2246.0,808.0,3.0
2001-09-01,2824.1,3158.3,654.7,-132.7
2001-06-01,2400.800049,2578.9999390000003,705.800003,13.5
2001-03-01,2338.699951,2472.0000609999997,700.400009,103.800003
2000-12-01,2232.0,2332.5,640.900024,485.600006
2000-09-01,2407.6,2521.8,674.9,535.7
2000-06-01,1960.0,2016.399963,605.699974,752.299988
2000-03-01,1912.099976,1943.700012,602.800024,185.100006
1999-12-01,1859.199951,1818.0,586.900013,-31.799999
1999-09-01,0.0,0.0,0.0,0.0
1999-06-01,1599.300049,1448.099976,225.5,104.199997
1999-03-01,1549.199951,1399.399964,695.899979,636.299988
1998-12-01,1374.0,1187.4,425.1,87.4
1998-06-01,1354.900024,1205.199952,420.699997,309.0
1998-03-01,1321.699951,1178.299988,402.5,-0.3
1997-12-01,1359.8,1238.8,388.3,0.6
1997-09-01,1393.099976,3299.999878,327.499985,47.099998
1997-06-01,1204.199951,1080.5,365.0,8.5
1997-03-01,1068.300049,0.0,342.199997,0.0
1996-12-01,1026.900024,0.0,323.899994,0.0
1996-09-01,1167.530883,1029.648133,345.192994,50.506003
1996-06-01,974.562988,845.471008,295.809998,9.282
1996-03-01,945.562012,816.8869930000001,296.074005,23.747999
1995-12-01,950.744019,837.493988,270.123001,0.864
1995-09-01,1005.518983,883.217041,276.67898,9.701002
1995-06-01,870.249023,753.7370000000001,264.144005,18.434999
1995-03-01,823.572021,706.314026,260.823997,10.1
