DATE,WADS
2018-03-01,4643.0
2017-12-01,4705.0
2017-09-01,4729.0
2017-06-01,4777.0
2017-03-01,4809.0
2016-12-01,4832.0
2016-09-01,4820.0
2016-06-01,4862.0
2016-03-01,4892.0
2015-12-01,4924.0
2015-09-01,4962.0
2015-06-01,5004.0
2015-03-01,5062.0
2014-12-01,5112.0
2014-09-01,5180.0
2014-06-01,5232.0
2014-03-01,5256.0
2013-12-01,5290.0
2013-09-01,5304.0
2013-06-01,5316.0
2013-03-01,5332.0
2012-12-01,5350.0
2012-09-01,5374.0
2012-06-01,5406.0
2012-03-01,5434.0
2011-12-01,5488.0
2011-09-01,5482.0
2011-06-01,5522.0
2011-03-01,5578.0
2010-12-01,5610.0
2010-09-01,5600.0
2010-06-01,5620.0
2010-03-01,5644.0
2009-12-01,5674.0
2009-09-01,5724.0
2009-06-01,5754.0
2009-03-01,5782.0
2008-12-01,5780.0
2008-09-01,5776.0
2008-06-01,5840.0
2008-03-01,5940.0
2007-12-01,6034.0
2007-09-01,6156.0
2007-06-01,6236.0
2007-03-01,6294.0
2006-12-01,6322.0
2006-09-01,6327.0
2006-06-01,6327.0
2006-03-01,6369.0
2005-12-01,6426.0
2005-09-01,6666.0
2005-06-01,6627.0
2005-03-01,6663.0
2004-12-01,6666.0
2004-09-01,6684.0
2004-06-01,6729.0
2004-03-01,6801.0
2003-12-01,6804.0
2003-09-01,6807.0
2003-06-01,6771.0
2003-03-01,6765.0
2002-12-01,6765.0
2002-09-01,4749.0
2002-06-01,2877.600037
2002-03-01,2856.899963
2001-12-01,2854.200073
2001-09-01,2852.7
2001-06-01,2854.5
2001-03-01,2896.799927
2000-12-01,2895.0
2000-09-01,2895.0
2000-06-01,2896.799927
2000-03-01,2924.100037
1999-12-01,2509.799927
1999-06-01,2471.700073
1999-03-01,2445.899963
1998-12-01,4889.4
1998-09-01,2433.0
1998-06-01,2425.799927
1998-03-01,2214.0
1997-12-01,2148.6
1997-09-01,2139.0
1997-06-01,2093.399963
1997-03-01,1948.799927
1996-12-01,1955.399963
1996-09-01,1690.799928
1996-06-01,1399.907959
1996-03-01,1414.961975
1995-12-01,1436.526031
1995-09-01,1439.69403
1995-06-01,1438.914001
1995-03-01,1438.043976
1994-12-01,1436.448029
1994-09-01,1433.38797
1994-06-01,1433.124023
1994-03-01,1432.973969
1993-12-01,1370.801971
1993-09-01,1328.364999
1993-06-01,1298.394058
1993-03-01,1294.442963
1992-12-01,1230.884995
1992-09-01,1218.726013
1992-06-01,1215.585022
1992-03-01,1214.738937
1991-12-01,1195.271988
1991-09-01,1158.67804
1991-06-01,1056.419975
1991-03-01,1047.564034
1990-12-01,1026.603012
1990-09-01,1017.808182
1990-06-01,1016.190033
1990-03-01,1015.848015
1989-12-01,1015.280983
