DATE,PRICE
2018-03-01,32.81
2017-12-01,34.17
2017-09-01,40.05
2017-06-01,38.48
2017-03-01,38.92
2016-12-01,37.59
2016-09-01,34.525
2016-06-01,33.17
2016-03-01,32.595
2015-12-01,30.54
2015-09-01,28.215
2015-06-01,28.44
2015-03-01,30.07
2014-12-01,28.235
2014-09-01,29.005
2014-06-01,26.89
2014-03-01,26.84
2013-12-01,25.02
2013-09-01,25.9825
2013-06-01,22.5575
2013-03-01,20.875
2012-12-01,20.99
2012-09-01,18.68
2012-06-01,17.8725
2012-03-01,15.985
2011-12-01,15.005
2011-09-01,11.855
2011-06-01,10.46
2011-03-01,12.67
2010-12-01,12.36
2010-09-01,10.985
2010-06-01,9.04
2010-03-01,8.685
2009-12-01,9.415
2009-09-01,8.43
2009-06-01,8.44
2009-03-01,7.23
2008-12-01,6.82
2008-09-01,8.44
2008-06-01,9.815
2008-03-01,9.485
2007-12-01,9.67
2007-09-01,9.13
2007-06-01,12.09
2007-03-01,14.06
2006-12-01,12.975
2006-09-01,14.11
2006-06-01,12.3
2006-03-01,10.913333
2005-12-01,8.72
2005-09-01,8.64
2005-06-01,9.793333
2005-03-01,10.223333
2004-12-01,11.26
2004-09-01,11.093333
2004-06-01,9.413333
2004-03-01,9.366667
2003-12-01,9.586667
2003-09-01,10.93
2003-06-01,10.273333
2003-03-01,10.06
2002-12-01,9.53
2002-09-01,7.856667
2002-06-01,7.11
2002-03-01,8.066667
2001-12-01,11.15
2001-09-01,12.0
2001-06-01,11.85
2001-03-01,14.316667
2000-12-01,13.729167
2000-09-01,13.770833
2000-06-01,13.5625
2000-03-01,12.958333
1999-12-01,13.75
1999-09-01,15.958333
1999-06-01,12.020833
1999-03-01,11.9375
1998-12-01,10.25
1998-06-01,7.770833
1998-03-01,6.625
1997-12-01,5.78125
1997-09-01,5.3125
1997-06-01,4.270833
1997-03-01,3.489583
1996-12-01,2.729167
1996-09-01,2.9375
1996-06-01,2.5625
1996-03-01,3.0625
1995-12-01,2.895833
1995-09-01,2.9375
1995-06-01,3.3125
1995-03-01,3.03125
1994-12-01,2.59375
1994-09-01,2.5625
1994-06-01,2.541667
1994-03-01,3.0
1993-12-01,3.020833
1993-09-01,4.041667
1993-06-01,3.458333
1993-03-01,2.444444
1992-12-01,2.597222
1992-09-01,2.152778
1992-06-01,1.777778
1992-03-01,1.944444
1991-12-01,1.597222
1991-09-01,1.861111
1991-06-01,1.777778
1991-03-01,1.597222
1990-12-01,1.763889
1990-09-01,1.458333
1990-06-01,1.041667
1990-03-01,1.5
1989-12-01,1.486111
