DATE,CHNG_WC,CASH_INVESTMENTS,DEBT,NON_CON_INT,PREF_SEC
2018-03-01,99.0,3430,41220,6311,0
2017-12-01,-1354.0,4125,40617,6716,0
2017-09-01,-2612.0,8871,42336,6812,0
2017-06-01,744.0,4266,40610,6922,0
2017-03-01,1474.0,4042,41935,6660,0
2016-12-01,-4021.0,4897,43607,6620,0
2016-09-01,854.0,8506,42762,6505,0
2016-06-01,-1400.0,5093,46155,6413,0
2016-03-01,-1201.0,4358,44471,6284,0
2015-12-01,6878.0,4846,43108,6311,0
2015-09-01,-3759.0,8503,38687,5999,0
2015-06-01,-869.0,4296,34312,6116,0
2015-03-01,-1450.0,4343,33840,6330,0
2014-12-01,6448.0,5184,32771,6219,0
2014-09-01,-4334.0,10020,29121,6665,0
2014-06-01,-1873.0,4962,21834,6908,0
2014-03-01,2728.0,6083,21765,6976,0
2013-12-01,4172.0,5601,21367,6493,0
2013-09-01,-970.0,10877,22699,6492,0
2013-06-01,-1602.0,5310,21293,6233,0
2013-03-01,-2354.0,4609,19357,5941,0
2012-12-01,-7811.0,6214,13412,6076,0
2012-09-01,-1756.0,15811,11581,5797,0
2012-06-01,-584.0,13055,12424,5642,0
2012-03-01,6495.0,17802,15581,5174,0
2011-12-01,708.0,18670,15650,7105,0
2011-09-01,1053.0,20289,17033,6348,0
2011-06-01,-3367.0,11022,16762,6273,0
2011-03-01,-674.0,10041,16488,6284,0
2010-12-01,2095.0,12833,15876,6051,0
2010-09-01,-4542.0,16450,15014,5840,0
2010-06-01,-3502.0,12259,18294,5569,0
2010-03-01,443.0,13267,20432,5195,0
2009-12-01,778.0,13827,9450,5125,0
2009-09-01,-1217.0,18116,9605,4823,0
2009-06-01,-3491.0,12623,9603,4840,0
2009-03-01,-7431.0,15729,9274,4561,0
2008-12-01,-7853.0,25140,9204,4375,0
2008-09-01,-5224.0,60563,9425,4558,0
2008-06-01,1641.0,75373,10264,0,0
2008-03-01,-26.0,77551,9637,0,0
2007-12-01,-876.0,78902,10006,0,0
2007-09-01,-1676.0,62694,9566,4282,0
2007-06-01,523.0,31613,8991,0,0
2007-03-01,1329.0,28959,8790,0,0
2006-12-01,515.0,29994,8764,0,0
2006-09-01,11.0,51481,8347,3804,0
2006-06-01,-2155.0,63206,8589,0,0
2006-03-01,2064.0,61355,8357,0,0
2005-12-01,5.0,61076,7994,0,0
2005-09-01,3180.0,31567,7991,3527,0
2005-06-01,854.0,57137,8457,0,0
2005-03-01,2168.0,25648,9086,0,0
2004-12-01,3437.0,25165,8324,0,0
2004-09-01,3656.0,21394,8293,3952,0
2004-06-01,738.0,40713,10109,0,0
2004-03-01,2482.0,37062,9830,0,0
2003-12-01,2946.0,38837,9969,0,0
2003-09-01,3257.0,11730,9545,3382,0
2003-06-01,-3101.0,33852,9619,0,0
2003-03-01,-404.0,34058,10138,0,0
2002-12-01,2706.0,32754,10661,0,0
2002-09-01,1632.0,8393,10748,2768,0
2002-06-01,-1411.0,26408,10883,0,0
2002-03-01,-382.0,24605,11309,0,0
2001-12-01,-290.0,23951,10513,0,0
2001-09-01,-195.0,7860,10802,2825,0
2001-06-01,54.0,27070,11133,0,0
2001-03-01,542.0,27280,11179,0,0
2000-12-01,2958.0,29159,12830,0,0
2000-09-01,2534.0,9095,13441,3230,0
2000-06-01,1215.0,25382,14241,0,0
2000-03-01,3300.0,24127,14626,0,0
1999-12-01,2751.0,21290,15379,0,0
1999-09-01,-4061.0,16305,18972,3688,0
1999-06-01,-250.0,11537,9245,0,31
1999-03-01,-1118.0,11152,9267,0,44
1998-12-01,-344.0,11012,8400,0,91
1998-09-01,-1131.0,7895,8778,1807,105
1998-06-01,-1436.0,2209,9551,0,119
1998-03-01,-717.0,10894,9484,0,134
1997-12-01,-73.0,3861,9830,0,174
1997-09-01,102.0,4062,9952,2371,190
1997-06-01,-626.0,4799,9928,0,206
1997-03-01,-577.0,4742,9684,0,221
1996-12-01,2234.0,5282,9840,0,284
1996-09-01,1525.0,2969,9746,1914,303
1996-06-01,-854.0,2933,9690,0,322
1996-03-01,-29.0,3324,10045,0,0
1995-12-01,1181.0,3663,10112,0,431
1995-09-01,-333.0,3134,10025,2170,454
1995-06-01,390.0,2537,10912,0,482
1995-03-01,38.0,2734,11858,0,0
1994-12-01,1520.0,3174,12759,0,-87
1994-09-01,-230.0,3098,12689,2168,554
1994-06-01,100.0,2425,13131,0,583
1994-03-01,23.0,2121,12870,0,612
1993-12-01,805.0,2116,12575,0,641
1993-09-01,-493.0,2829,12615,2395,668
1993-06-01,-309.0,2280,13166,0,694
1993-03-01,-60.0,2169,13597,0,3
1992-12-01,370.0,1752,13220,0,744
1992-09-01,-73.0,2629,13424,2975,770
1992-06-01,594.0,1567,12963,0,795
1992-03-01,-436.0,1621,13283,0,819
1991-12-01,518.0,1691,12561,0,-70
1991-09-01,-660.0,2735,13042,2967,867
1991-06-01,-230.0,1469,12561,0,895
1991-03-01,196.0,1088,12150,0,4
1990-12-01,2541.0,1687,12798,0,940
1990-09-01,292.0,2586,13777,2950,30
1990-06-01,-952.0,1409,14952,0,44
1990-03-01,-193.0,1687,14916,0,58
1989-12-01,,1852,15852,0,6
