DATE,CAPEX,FREE_CASH_FLOW
2018-03-01,4620,2853
2017-12-01,1908,5170
2017-09-01,3093,2910
2017-06-01,4059,2622
2017-03-01,2944,3849
2016-12-01,2203,5283
2016-09-01,1794,3509
2016-06-01,2428,1951
2016-03-01,3242,248
2015-12-01,4424,211
2015-09-01,5351,-1756
2015-06-01,5910,2773
2015-03-01,6480,1683
2014-12-01,6360,1154
2014-09-01,8643,-1469
2014-06-01,8071,4198
2014-03-01,5986,1660
2013-12-01,6217,7775
2013-09-01,6590,1782
2013-06-01,8892,4333
2013-03-01,8346,-968
2012-12-01,7134,6098
2012-09-01,9252,3167
2012-06-01,7419,5416
2012-03-01,4615,1872
2011-12-01,5330,11444
2011-09-01,1747,2117
2011-06-01,6070,7371
2011-03-01,6315,5077
2010-12-01,5710,9805
2010-09-01,6016,5385
2010-06-01,7046,5276
2010-03-01,5216,3591
2009-12-01,5332,7290
2009-09-01,6301,1741
2009-06-01,5318,3337
2009-03-01,4795,-3368
2008-12-01,4532,4237
2008-09-01,3542,5159
2008-06-01,2512,9261
2008-03-01,3713,8546
2007-12-01,3566,17441
2007-09-01,2778,6775
2007-06-01,3186,11128
2007-03-01,2651,7532
2006-12-01,2568,11180
2006-09-01,1081,5095
2006-06-01,3715,10782
2006-03-01,4250,7046
2005-12-01,3336,10901
2005-09-01,2443,6491
2005-06-01,2738,12275
2005-03-01,1706,5278
2004-12-01,916,10255
2004-09-01,2605,8901
2004-06-01,2267,6616
2004-03-01,2004,5720
2003-12-01,2356,7328
2003-09-01,3085,3245
2003-06-01,2833,2631
2003-03-01,3046,4055
2002-12-01,1605,5708
2002-09-01,1556,1789
2002-06-01,2703,4565
2002-03-01,2727,1279
2001-12-01,1658,2198
2001-09-01,2936,264
2001-06-01,2350,2762
2001-03-01,1884,3173
2000-12-01,1741,6701
2000-09-01,554,3465
2000-06-01,1530,3373
2000-03-01,805,3932
1999-12-01,-213,3721
1999-09-01,4716,2082
1999-06-01,1638,1124
1999-03-01,2009,42
1998-12-01,1632,916
1998-09-01,6895,189
1998-06-01,2161,1403
1998-03-01,1899,928
1997-12-01,1584,1365
1997-09-01,2093,568
1997-06-01,1969,2119
1997-03-01,1850,1563
1996-12-01,1481,3033
1996-09-01,2108,854
1996-06-01,1842,1298
1996-03-01,1846,1137
1995-12-01,1413,2664
1995-09-01,2303,1270
1995-06-01,1779,2165
1995-03-01,1647,1401
1994-12-01,1399,1883
1994-09-01,0,0
1994-06-01,0,0
1994-03-01,0,0
1993-12-01,0,0
1993-09-01,0,0
1993-06-01,0,0
1993-03-01,0,0
1992-12-01,0,0
1992-09-01,0,0
1992-06-01,0,0
1992-03-01,0,0
1991-12-01,0,0
1991-09-01,0,0
1991-06-01,0,0
1991-03-01,0,0
1990-12-01,0,0
1990-09-01,0,0
1990-06-01,0,0
1990-03-01,0,0
1989-12-01,0,0
