DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-03-01,71456,66842.0,9203.0,2526
2017-12-01,65436,60430.0,9476.0,2457
2017-09-01,66515,63636.2308,9832.7692,-5392
2017-06-01,58551,54607.0,8824.0,1498
2017-03-01,55236,52973.0,6915.0,892
2016-12-01,55748,51881.0,8386.0,1828
2016-09-01,52973,52774.0,8316.0,-1407
2016-06-01,51330,49908.0,6027.0,337
2016-03-01,50925,49788.0,5958.0,715
2015-12-01,42290,42085.0,4970.0,-51
2015-09-01,52321,51749.0,5327.0,-202
2015-06-01,59866,55704.0,8704.0,1365
2015-03-01,65395,61109.0,8737.0,2692
2014-12-01,59228,55365.0,8163.0,1560
2014-09-01,76085,70996.8462,9546.1538,2060
2014-06-01,96047,86473.0,13936.0,5064
2014-03-01,98287,89561.0,13011.0,5034
2013-12-01,94344,84064.0,14472.0,5857
2013-09-01,98355,88633.0,14102.0,6073
2013-06-01,100508,90249.0,14546.0,6120
2013-03-01,95301,86064.0,13642.0,5793
2012-12-01,96336,85253.0,15193.0,6277
2012-09-01,101409,90059.0769,15459.9231,7398
2012-06-01,103417,90190.0,17264.0,7394
2012-03-01,104718,103095.0,5522.0,8537
2011-12-01,110696,97938.0,16600.0,7716
2011-09-01,107419,96003.0,15491.0,7317
2011-06-01,111991,98068.0,17789.0,8009
2011-03-01,112781,98209.0,18453.0,7721
2010-12-01,101335,87142.0,17954.0,8004
2010-09-01,93428,82134.0,15564.0,5811
2010-06-01,85181,75212.0,13813.0,5297
2010-03-01,82747,72779.0,13334.0,4960
2009-12-01,80222,71313.0,12189.0,5493
2009-09-01,80106,72590.0,10709.0,4067
2009-06-01,73285,66189.0,10023.0,4333
2009-03-01,65951,60381.0,8574.0,3571
2008-12-01,56222,50165.0,8850.0,3148
2008-09-01,73284,64390.0,12071.0,5375
2008-06-01,122758,101399.0,24367.0,11327
2008-03-01,124238,105996.0,21332.0,10526
2007-12-01,104791,86996.0,20899.0,9302
2007-09-01,103301,87845.0,18611.0,8062
2007-06-01,91160,77250.0,17069.0,7350
2007-03-01,87249,72328.0,17915.0,7668
2006-12-01,76890,63522.0,16310.0,6784
2006-09-01,80116,67300.0,16098.0,5311
2006-06-01,88504,73078.0,18156.0,7688
2006-03-01,87813,72259.0,18314.0,7844
2005-12-01,78653,65510.0,15787.0,7059
2005-09-01,88298,73343.0,17626.0,7008
2005-06-01,88571,76258.0,14826.0,6132
2005-03-01,79107,67851.0,13772.0,5119
2004-12-01,72237,61759.0,13031.0,5043
2004-09-01,73830,62450.0,13993.0,4845
2004-06-01,67809,59138.0,11102.0,3854
2004-03-01,62706,54507.0,10549.0,3690
2003-12-01,59644,52022.0,9995.0,3522
2003-09-01,55711,50172.0,8032.0,2728
2003-06-01,52860,47837.0,7226.0,2312
2003-03-01,50271,44351.0,8089.0,2578
2002-12-01,54357,47656.0,8883.0,3388
2002-09-01,56211,51348.0,6938.0,1715
2002-06-01,47495,43645.0,6045.0,1858
2002-03-01,44427,40856.0,5591.0,1654
2001-12-01,37927,35192.0,4755.0,1272
2001-09-01,41037,38363.0,4814.0,1107
2001-06-01,45816,41211.0,6562.0,2060
2001-03-01,49875,43766.0,7980.0,2587
2000-12-01,50782,43376.0,9382.0,3260
2000-09-01,56646,49004.0,9804.0,3507
2000-06-01,52178,45999.0,8080.0,2637
2000-03-01,49479,43355.0,8063.0,2706
1999-12-01,47780,42546.0,7362.0,2241
1999-09-01,83591,77675.0,10026.0,2062
1999-06-01,29015,26995.0,3339.0,729
1999-03-01,25295,24101.0,2541.0,466
1998-12-01,22982,22495.0,2015.0,-17
1998-09-01,30936,0.0,0.0,0
1998-06-01,24859,23197.0,2999.0,661
1998-03-01,25525,23611.0,3304.0,658
1997-12-01,26211,23875.0,3724.0,839
1997-09-01,34495,31610.0,7176.0,854
1997-06-01,28765,26164.0,3962.0,946
1997-03-01,28683,25854.0,4171.0,1195
1996-12-01,29556,26352.0,4569.0,1343
1996-09-01,37620,29385.0,9579.0,1381
1996-06-01,29086,26753.0,3640.0,987
1996-03-01,27975,25693.0,3588.0,1082
1995-12-01,27164,24839.0,3697.0,956
1995-09-01,30666,25571.0,6477.0,1086
1995-06-01,27025,24650.0,3715.0,991
1995-03-01,27846,25493.0,3681.0,1044
1994-12-01,26127,23981.0,3482.0,851
1994-09-01,30561,24398.0,7469.0,819
1994-06-01,26047,24210.0,3024.0,785
1994-03-01,24246,22881.0,2598.0,552
1993-12-01,22883,21160.0,3012.0,548
1993-09-01,27843,22364.0,6723.0,881
1993-06-01,24455,22701.0,2964.0,677
1993-03-01,24702,23038.0,2900.0,529
1992-12-01,24139,22418.0,2915.0,685
1992-09-01,30161,25157.0,6448.0,706
1992-06-01,27241,25187.0,3089.0,807
1992-03-01,24547,23241.0,2529.0,323
1991-12-01,24475,22691.0,3086.0,641
1991-09-01,31020,25670.0,6587.0,621
1991-06-01,24238,22618.0,2814.0,454
1991-03-01,24251,22529.0,2910.0,662
1990-12-01,27237,23959.0,4483.0,1181
1990-09-01,35122,29422.0,7451.0,710
1990-06-01,26086,24123.0,3148.0,781
1990-03-01,23444,21563.0,3204.0,769
1989-12-01,24127,21805.0,3608.0,910
