DATE,REVENUE,EBITDA_MARGIN,TAX_EXPENSE_MARGIN,CAPEX_MARGIN,CHNG_WC_MARGIN,REVENUE_GROWTH,EBITDA_GROWTH,CAPEX_GROWTH,TB3M,TB10YR,FIRM_VALUE,NON_OP_ASSETS,WADS,PRICE
2018-03-01,245738.0,0.14262250526984024,-0.0022178092114365708,0.04884877389740293,-0.00711326697539656,0.04104215208642237,0.001443533132863939,-0.062464177698840384,1.56,2.7585245901639346,396465.10000000003,-44101,4271.0,82.73
2017-12-01,236050.0,0.14385837407328958,-0.004973522558779919,0.05210336793052319,-0.01870366447786486,0.06086073309723705,0.002269520230763211,0.05394692649862298,1.2066666666666668,2.371451612903226,358861.7,-43208,4270.0,74.61
2017-09-01,222508.0,0.14579700505150375,0.01263325363582433,0.04943642475776152,-0.004265015190465062,0.03354127281257102,-0.009395451627710605,0.13598245029610467,1.0366666666666666,2.2414285714285715,400492.44,-40277,4270.0,83.64
2017-06-01,215287.0,0.13769526260294399,0.007664187805115961,0.04351865184614027,-0.01436686841286283,0.02043360382223569,-0.0019935142708485953,-0.05023367209151863,0.89,2.260952380952381,394689.58,-43266,4271.0,81.98
2017-03-01,210976.0,0.1359728120734112,0.0069818367966024576,0.04582037767328985,-0.027339602608827545,0.06813556232849671,-0.009208159765430102,-0.23869874181755846,0.59,2.4466129032258066,386252.79000000004,-44553,4271.0,80.73
2016-12-01,197518.0,0.12794276977288147,-0.0020555088650148342,0.06018691967314371,0.025977379276825405,0.0033118974327714934,-0.016642884308459394,-0.23284181752197408,0.43,2.1386885245901643,383234.76,-45330,4223.0,82.01
2016-09-01,196866.0,0.11318358680523809,0.004058598234331982,0.07845438013674276,0.0026312313959749273,-0.041557531085383737,0.009481470065508146,-0.14858738369275448,0.2966666666666667,1.564375,424581.28,-40761,4176.0,90.26
2016-06-01,205402.0,0.12151293560919563,0.00889475272879524,0.09214613294904626,0.005107058353862183,-0.0658110173191675,0.005312478903967799,-0.08593031609417101,0.25666666666666665,1.75015625,411052.84,-47475,4178.0,87.28
2016-03-01,219872.0,0.12615521758113812,0.017300975112792896,0.10080865230679668,0.0036384805705137534,-0.07152569570541789,0.005130114895694371,-0.009481060836790123,0.2866666666666667,1.9142622950819672,436218.72,-46397,4178.0,93.74
2015-12-01,236810.0,0.1306152611798488,0.022866433005362948,0.10177357375110849,0.0015624340188336641,-0.09119866141671851,0.004947181729534789,-0.03188598522902408,0.12333333333333335,2.190483870967742,385839.97000000003,-44573,4178.0,83.59
2015-09-01,260574.0,0.13489509237299194,0.029461880310391673,0.10512560731308572,-0.0007867246924098337,-0.12192212431130056,0.0013705065417837226,0.05557791155832548,0.04,2.223125,362742.5,-36183,4183.0,77.95
2015-06-01,296755.0,0.13607910161581102,0.03833465316506883,0.09959057134673384,-0.0040740678337348995,-0.09977946105986102,-0.0007084922657677462,0.12972240443003336,0.02,2.164375,348097.0,-36132,4190.0,74.35
2015-03-01,329647.0,0.13546658637876274,0.041614211565705134,0.08815490509545058,0.00900660403401214,-0.09627072921321511,0.004945717032532659,0.11199805122702355,0.02666666666666667,1.9688524590163932,384161.2,-35827,4200.0,83.2
2014-12-01,364763.0,0.13972128148962476,0.049388232907394664,0.0792761327217947,0.0018998637471454066,-0.057540313099916585,0.004356564049645462,0.14214113593338196,0.02333333333333333,2.275967741935484,385741.0,-33806,4211.0,85.0
2014-09-01,387033.0,0.14345288386261637,0.05691504342007012,0.06941010198096803,0.010482310293954262,-0.011394810648439058,-8.928628057092158e-05,-0.01847070742506418,0.02666666666666667,2.49953125,418264.15,-25766,4235.0,92.45
