DATE,WADS
2018-03-01,4271.0
2017-12-01,4270.0
2017-09-01,4270.0
2017-06-01,4271.0
2017-03-01,4271.0
2016-12-01,4223.0
2016-09-01,4176.0
2016-06-01,4178.0
2016-03-01,4178.0
2015-12-01,4178.0
2015-09-01,4183.0
2015-06-01,4190.0
2015-03-01,4200.0
2014-12-01,4211.0
2014-09-01,4235.0
2014-06-01,4267.0
2014-03-01,4297.0
2013-12-01,4328.0
2013-09-01,4361.0
2013-06-01,4395.0
2013-03-01,4433.0
2012-12-01,4485.0
2012-09-01,4541.0
2012-06-01,4597.0
2012-03-01,4656.0
2011-12-01,4716.0
2011-09-01,4775.0
2011-06-01,4843.0
2011-03-01,4912.0
2010-12-01,4971.0
2010-09-01,5031.0
2010-06-01,5089.0
2010-03-01,4729.0
2009-12-01,4736.0
2009-09-01,4760.0
2009-06-01,4803.0
2009-03-01,4871.0
2008-12-01,4959.0
2008-09-01,5045.0
2008-06-01,5160.0
2008-03-01,5261.0
2007-12-01,5362.0
2007-09-01,5454.0
2007-06-01,5536.0
2007-03-01,5620.0
2006-12-01,5714.0
2006-09-01,5823.86
2006-06-01,5922.0
2006-03-01,6030.0
2005-12-01,6126.0
2005-09-01,6263.0
2005-06-01,6303.0
2005-03-01,6370.0
2004-12-01,6421.0
2004-09-01,6461.0
2004-06-01,6508.0
2004-03-01,6547.0
2003-12-01,6582.0
2003-09-01,6612.0
2003-06-01,6652.0
2003-03-01,6687.0
2002-12-01,6714.0
2002-09-01,6755.0
2002-06-01,6787.0
2002-03-01,6831.0
2001-12-01,6858.0
2001-09-01,6889.0
2001-06-01,6924.0
2001-03-01,6963.0
2000-12-01,6989.0
2000-09-01,7027.0
2000-06-01,7043.0
2000-03-01,7049.0
1999-12-01,7044.0
1999-09-01,6906.0
1999-06-01,4912.0
1999-03-01,4914.0
1998-12-01,4910.0
1998-09-01,4916.0
1998-06-01,4930.0
1998-03-01,4950.0
1997-12-01,4966.0
1997-09-01,4922.4
1997-06-01,5012.0
1997-03-01,5027.564
1996-12-01,5034.0
1996-09-01,4968.0
1996-06-01,5024.0
1996-03-01,5024.0
1995-12-01,5024.0
1995-09-01,4966.0
1995-06-01,4967.2002
1995-03-01,4970.0
1994-12-01,4967.6001
1994-09-01,4966.7998
1994-06-01,4965.6001
1994-03-01,4966.3999
1993-12-01,4967.6001
1993-09-01,4966.0
1993-06-01,4966.3999
1993-03-01,4967.6001
1992-12-01,4966.7441
1992-09-01,4966.0
1992-06-01,4966.1519
1992-03-01,4965.896
1991-12-01,4966.6958
1991-09-01,4969.2002
1991-06-01,4973.2002
1991-03-01,4977.0518
1990-12-01,4980.0962
1990-09-01,4983.2002
1990-06-01,4987.2002
1990-03-01,4991.6318
1989-12-01,4998.1758
