DATE,PRICE
2018-03-01,82.73
2017-12-01,74.61
2017-09-01,83.64
2017-06-01,81.98
2017-03-01,80.73
2016-12-01,82.01
2016-09-01,90.26
2016-06-01,87.28
2016-03-01,93.74
2015-12-01,83.59
2015-09-01,77.95
2015-06-01,74.35
2015-03-01,83.2
2014-12-01,85.0
2014-09-01,92.45
2014-06-01,94.05
2014-03-01,100.68
2013-12-01,97.68
2013-09-01,101.2
2013-06-01,86.04
2013-03-01,90.35
2012-12-01,90.11
2012-09-01,86.55
2012-06-01,91.45
2012-03-01,85.57
2011-12-01,86.73
2011-09-01,84.76
2011-06-01,72.63
2011-03-01,81.38
2010-12-01,84.13
2010-09-01,73.12
2010-06-01,61.79
2010-03-01,57.07
2009-12-01,66.98
2009-09-01,68.19
2009-06-01,68.61
2009-03-01,69.91
2008-12-01,68.1
2008-09-01,79.83
2008-06-01,77.66
2008-03-01,88.13
2007-12-01,84.58
2007-09-01,93.69
2007-06-01,92.56
2007-03-01,83.88
2006-12-01,75.45
2006-09-01,76.63
2006-06-01,67.1
2006-03-01,61.35
2005-12-01,60.86
2005-09-01,56.17
2005-06-01,63.54
2005-03-01,57.47
2004-12-01,59.6
2004-09-01,51.26
2004-06-01,48.33
2004-03-01,44.41
2003-12-01,41.59
2003-09-01,41.0
2003-06-01,36.6
2003-03-01,35.91
2002-12-01,34.95
2002-09-01,34.94
2002-06-01,31.9
2002-03-01,40.92
2001-12-01,43.83
2001-09-01,39.3
2001-06-01,39.4
2001-03-01,43.675
2000-12-01,40.5
2000-09-01,43.4688
2000-06-01,44.5528
2000-03-01,39.25
1999-12-01,39.0
1999-09-01,40.2813
1999-06-01,38.0
1999-03-01,38.5625
1998-12-01,35.2813
1998-09-01,36.5625
1998-06-01,35.3125
1998-03-01,35.6875
1997-12-01,33.8125
1997-09-01,30.5938
1997-06-01,32.0313
1997-03-01,30.625
1996-12-01,26.9375
1996-09-01,24.5
1996-06-01,20.8125
1996-03-01,21.7188
1995-12-01,20.375
1995-09-01,20.125
1995-06-01,18.0625
1995-03-01,17.6563
1994-12-01,16.6563
1994-09-01,15.1875
1994-06-01,14.375
1994-03-01,14.1875
1993-12-01,15.7188
1993-09-01,15.7813
1993-06-01,16.375
1993-03-01,16.5313
1992-12-01,16.5313
1992-09-01,15.2813
1992-06-01,15.9688
1992-03-01,15.4688
1991-12-01,13.6875
1991-09-01,15.2188
1991-06-01,14.875
1991-03-01,14.5313
1990-12-01,14.625
1990-09-01,12.9375
1990-06-01,12.25
1990-03-01,11.9688
1989-12-01,11.5313
