DATE,CHNG_WC,CASH_INVESTMENTS,DEBT,NON_CON_INT,PREF_SEC
2018-06-01,82.0,22674,46921,134,0
2018-03-01,-2036.0,20490,39144,128,0
2017-12-01,1017.0,21698,39695,124,0
2017-09-01,-673.0,22162,40353,131,0
2017-06-01,3998.0,19974,34157,130,0
2017-03-01,2639.0,20591,34990,125,0
2016-12-01,-1205.0,19197,34804,121,0
2016-09-01,627.0,17567,34324,146,0
2016-06-01,-2955.0,18904,34071,149,0
2016-03-01,-3018.0,19884,36166,156,0
2015-12-01,4724.0,24135,36610,147,0
2015-09-01,-145.0,18600,31944,162,0
2015-06-01,-1271.0,19085,31951,157,0
2015-03-01,-1025.0,19099,32040,153,0
2014-12-01,2880.0,18624,32411,148,0
2014-09-01,2939.0,20081,32975,146,0
2014-06-01,-892.0,20558,38827,140,0
2014-03-01,-1151.0,21860,40356,136,0
2013-12-01,-4297.0,21622,37864,133,0
2013-09-01,2886.0,24021,33607,137,0
2013-06-01,1437.0,21907,33883,131,0
2013-03-01,47.0,22185,31896,127,0
2012-12-01,1019.0,23938,31629,122,0
2012-09-01,-2834.0,24167,30234,124,0
2012-06-01,152.0,23045,31938,126,0
2012-03-01,-2148.0,21982,30745,92,0
2011-12-01,1834.0,22884,29703,82,0
2011-09-01,-540.0,22825,29436,97,0
2011-06-01,2250.0,21133,28245,87,0
2011-03-01,-41.0,22186,27816,84,0
2010-12-01,-419.0,23499,28349,104,0
2010-09-01,-1472.0,22730,26878,126,0
2010-06-01,-876.0,20534,24873,121,0
2010-03-01,-1220.0,21426,24288,117,0
2009-12-01,-1811.0,23519,23814,116,0
2009-09-01,2448.0,25095,23482,118,0
2009-06-01,2480.0,21741,22781,98,0
2009-03-01,1435.0,22723,26815,94,0
2008-12-01,1.0,22330,28794,92,0
2008-09-01,7135.0,29148,33925,0,0
2008-06-01,-2195.0,26137,34413,0,0
2008-03-01,252.0,27149,34232,0,0
2007-12-01,-3989.0,29749,35186,0,0
2007-09-01,3788.0,68319,35274,0,0
2007-06-01,7369.0,33097,35321,0,0
2007-03-01,-11475.0,29297,34722,0,0
2006-12-01,1115.0,29288,23946,0,0
2006-09-01,-1171.0,29105,22682,0,0
2006-06-01,267.0,25190,21991,0,0
2006-03-01,-2842.0,24540,21779,0,0
2005-12-01,-2194.0,26558,22485,0,0
2005-09-01,1330.0,28288,22641,0,0
2005-06-01,866.0,23510,21422,0,0
2005-03-01,792.0,24886,23718,0,0
2004-12-01,164.0,25388,23412,0,0
2004-09-01,94.0,28635,22927,0,0
2004-06-01,211.0,19688,21951,0,0
2004-03-01,-182.0,18197,21926,0,0
2003-12-01,136.0,18784,23666,0,0
2003-09-01,-872.0,18388,23632,0,0
2003-06-01,-314.0,15869,23024,0,0
2003-03-01,333.0,16287,23845,0,0
2002-12-01,849.0,16382,25803,0,0
2002-09-01,25.0,17415,26017,0,0
2002-06-01,2951.0,16434,25744,0,0
2002-03-01,-3175.0,15499,25841,0,0
2001-12-01,-41.0,15712,24908,0,0
2001-09-01,-91.0,18639,27151,0,0
2001-06-01,-3192.0,16258,28561,0,0
2001-03-01,1552.0,16070,27306,0,247
2000-12-01,1599.0,15923,28833,0,247
2000-09-01,249.0,31477,28576,0,247
2000-06-01,1650.0,3033,29371,0,247
2000-03-01,2047.0,3261,29174,0,247
1999-12-01,-49.0,3606,28139,0,247
1999-09-01,-1522.0,5944,28354,0,247
1999-06-01,-2392.0,6026,27903,0,247
1999-03-01,971.0,7241,29043,0,247
1998-12-01,987.0,5356,29993,0,247
1998-09-01,-1757.0,6049,29413,0,247
1998-06-01,329.0,5869,28476,0,252
1998-03-01,-618.0,5471,27861,0,252
1997-12-01,668.0,5889,27696,0,252
1997-09-01,-689.0,7789,26926,0,252
1997-06-01,1520.0,6486,26141,0,253
1997-03-01,1.0,6861,25703,0,253
1996-12-01,-616.0,6463,23645,0,253
1996-09-01,-1613.0,8967,22829,0,253
1996-06-01,1.0,7002,23131,0,253
1996-03-01,-215.0,6377,23058,0,253
1995-12-01,-521.0,6396,21947,0,253
1995-09-01,417.0,8545,21629,0,253
1995-06-01,-4546.0,6951,21512,0,253
1995-03-01,31.0,10529,23027,0,253
1994-12-01,1029.0,10490,22625,0,255
1994-09-01,242.0,11371,22118,0,1081
1994-06-01,1600.0,30325,24317,0,1091
1994-03-01,2479.0,28392,25249,0,1091
1993-12-01,1739.0,29118,26879,0,1093
1993-09-01,599.0,7836,27342,0,1091
1993-06-01,2382.0,6174,31541,0,1091
1993-03-01,-309.0,6771,31717,0,1091
1992-12-01,425.0,5826,29803,0,0
1992-09-01,-5970.0,6332,29320,0,0
1992-06-01,377.0,4660,30055,0,0
1992-03-01,1192.0,4098,27306,0,0
1991-12-01,338.0,5896,26867,0,0
1991-09-01,-3919.0,5903,26947,0,0
1991-06-01,-2294.0,4562,26323,0,0
1991-03-01,-1404.0,4700,20755,0,0
1990-12-01,991.0,6828,20918,0,0
1990-09-01,-429.0,4551,19545,0,0
1990-06-01,425.0,4339,19744,0,0
1990-03-01,-91.0,4481,18119,0,0
1989-12-01,13739.0,5458,18036,0,0
1989-09-01,0.0,0,0,0,0
1988-09-01,,0,0,0,0
