DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-06-01,18756,15179.0,4715.0,304
2018-03-01,20003,16409.15443,4709.84557,373
2017-12-01,19072,16330.863291,3855.136709,-540
2017-09-01,22543,17878.0,5814.0,5522
2017-06-01,19153,16020.0,4309.0,339
2017-03-01,19289,16404.0,4002.0,111
2016-12-01,18155,15892.787692,3361.212308,-329
2016-09-01,21770,16942.0,5955.0,481
2016-06-01,19226,16243.0,4110.0,409
2016-03-01,20238,17154.0,4187.0,545
2015-12-01,18684,16189.0,3519.0,-983
2015-09-01,22060,17049.0,6001.0,638
2015-06-01,19280,15099.0,5117.0,659
2015-03-01,20813,16694.0,5080.0,698
2014-12-01,19590,15719.0,4839.0,585
2014-09-01,24113,19156.0,6003.0,1579
2014-06-01,22397,14563.0,8973.0,906
2014-03-01,24047,19154.0,6059.0,1096
2013-12-01,22236,18443.0,4934.0,653
2013-09-01,27385,20293.0,8306.0,885
2013-06-01,23338,18237.0,6276.0,833
2013-03-01,24924,19743.0,6317.0,918
2012-12-01,23408,19637.0,4924.0,574
2012-09-01,29304,21529.0,8927.0,1998
2012-06-01,24747,19781.0,6157.0,1250
2012-03-01,25783,20670.0,6289.0,1280
2011-12-01,24673,20707.0,5123.0,770
2011-09-01,29486,22095.0,8579.0,1784
2011-06-01,26157,21178.0,6171.0,1188
2011-03-01,26666,21711.0,6162.0,1221
2010-12-01,24607,20928.0,4907.0,954
2010-09-01,29019,22402.0,7851.0,1698
2010-06-01,24271,19949.0,5525.0,1088
2010-03-01,23724,19538.0,5369.0,1189
2009-12-01,22858,19583.0,4485.0,914
2009-09-01,27230,21001.0,7494.0,1568
2009-06-01,23566,19363.0,5461.0,1159
2009-03-01,23250,19149.0,5343.0,1159
2008-12-01,21711,18759.0,4181.0,827
2008-09-01,27006,21432.0,6896.0,1382
2008-06-01,25301,21566.0,5113.0,1071
2008-03-01,26821,23169.0,5055.0,1049
2007-12-01,24502,21525.0,4324.0,879
2007-09-01,28866,23498.0,0.0,1537
2007-06-01,24119,21011.0,4448.0,918
2007-03-01,23772,20999.0,4057.0,881
2006-12-01,22029,19761.0,3508.0,735
2006-09-01,26257,21763.0,5794.0,1350
2006-06-01,22617,19790.0,4055.0,952
2006-03-01,21890,19314.0,3823.0,867
2005-12-01,20659,18629.0,3238.0,732
2005-09-01,24427,20373.0,5383.0,1348
2005-06-01,21529,18870.0,3898.0,1399
2005-03-01,22270,21469.0,2139.0,882
2004-12-01,22908,21046.0,3144.0,603
2004-09-01,27671,23886.0,5175.0,1206
2004-06-01,23349,21446.0,3064.0,631
2004-03-01,23098,20988.0,3237.0,749
2003-12-01,22175,20357.0,3055.0,586
2003-09-01,25913,22161.0,4984.0,1162
2003-06-01,21522,19320.0,3379.0,764
2003-03-01,21631,19319.0,3488.0,741
2002-12-01,20065,18242.0,2939.0,594
2002-09-01,23684,21137.0,3225.0,801
2002-06-01,19821,17698.0,3204.0,710
2002-03-01,19651,18867.0,2318.0,150
2001-12-01,18030,16688.0,2428.0,529
2001-09-01,22141,19147.0,4078.0,1029
2001-06-01,19783,17686.0,3243.0,695
2001-03-01,20834,18313.0,3564.0,850
2000-12-01,20309,18066.0,3476.0,730
2000-09-01,25616,21656.0,5324.0,1117
2000-06-01,21781,18967.0,3979.0,841
2000-03-01,21651,18924.0,3745.0,832
1999-12-01,19348,17215.0,3361.0,651
1999-09-01,24182,21160.0,4278.0,896
1999-06-01,21144,18464.0,4137.0,867
1999-03-01,21905,17820.0,6553.0,1652
1998-12-01,20317,18177.0,3544.0,630
1998-09-01,25131,21803.0,5074.0,956
1998-06-01,20095,17925.0,3079.0,638
1998-03-01,18823,16709.0,3228.0,631
1997-12-01,17618,16066.0,2775.0,487
1997-09-01,23723,20690.0,4448.0,919
1997-06-01,18605,16601.0,3181.0,624
1997-03-01,18872,16650.0,3435.0,734
1996-12-01,17308,15469.0,3035.0,657
1996-09-01,23143,20247.0,4200.0,864
1996-06-01,18062,16094.0,3164.0,694
1996-03-01,18183,15997.0,3484.0,827
1995-12-01,16559,14578.0,3195.0,773
1995-09-01,21920,19409.0,4041.0,857
1995-06-01,16754,16566.0,1508.0,775
1995-03-01,17531,14757.0,4076.0,1108
1994-12-01,15735,13617.0,3568.0,895
1994-09-01,19897,17877.0,3488.0,843
1994-06-01,15431,14215.0,2708.0,494
1994-03-01,15351,14273.0,2587.0,504
1993-12-01,13373,12682.0,2517.0,293
1993-09-01,19396,18900.0,1532.0,281
1993-06-01,14743,14772.0,1184.0,-34
1993-03-01,15519,15408.0,1184.0,-962
1992-12-01,13058,13328.0,1118.0,-95
1992-09-01,19560,26315.0,-5575.0,-1485
1992-06-01,14702,18743.0,-2894.0,-1508
1992-03-01,16224,14835.0,2690.0,483
1991-12-01,14037,12869.0,2333.0,349
1991-09-01,21968,23065.0,1694.0,90
1991-06-01,14447,13845.0,1722.0,144
1991-03-01,14764,14379.0,1552.0,111
1990-12-01,13587,12538.0,2307.0,371
1990-09-01,23061,18805.0,6445.0,1533
1990-06-01,15277,13224.0,3220.0,797
1990-03-01,16495,13908.0,3395.0,1063
1989-12-01,14185,12049.0,3275.0,790
1989-09-01,20462,0.0,0.0,0
1989-06-01,14305,0.0,0.0,0
1989-03-01,15213,0.0,0.0,0
1988-12-01,12730,0.0,0.0,0
1988-09-01,20002,0.0,0.0,0
