DATE,WADS
2018-06-01,915.2
2018-03-01,919.4
2017-12-01,925.4
2017-09-01,928.9
2017-06-01,933.2
2017-03-01,939.6
2016-12-01,947.8
2016-09-01,952.7
2016-06-01,957.3
2016-03-01,960.5
2015-12-01,964.4
2015-09-01,972.8
2015-06-01,979.0
2015-03-01,986.7
2014-12-01,992.3
2014-09-01,995.4
2014-06-01,997.7
2014-03-01,1005.1
2013-12-01,1041.8
2013-09-01,1080.0
2013-06-01,1098.8
2013-03-01,1109.4
2012-12-01,1124.0
2012-09-01,1136.4
2012-06-01,1149.3
2012-03-01,1161.9
2011-12-01,1174.2
2011-09-01,1188.7
2011-06-01,1204.9
2011-03-01,1221.4
2010-12-01,1240.0
2010-09-01,1258.4
2010-06-01,1272.8
2010-03-01,1296.7
2009-12-01,1321.6
2009-09-01,1340.7
2009-06-01,1338.2
2009-03-01,1336.9
2008-12-01,1349.5
2008-09-01,1347.9
2008-06-01,1379.1
2008-03-01,1395.8
2007-12-01,1404.3
2007-09-01,1412.9
2007-06-01,1405.8
2007-03-01,1460.8
2006-12-01,1522.8
2006-09-01,1532.5
2006-06-01,1534.3
2006-03-01,1560.1
2005-12-01,1587.2
2005-09-01,1604.8
2005-06-01,1617.2
2005-03-01,1627.9
2004-12-01,1660.6
2004-09-01,1692.1
2004-06-01,1698.099976
2004-03-01,1711.300049
2003-12-01,1727.400024
2003-09-01,1745.699951
2003-06-01,1756.400024
2003-03-01,1763.699951
2002-12-01,1758.5
2002-09-01,1728.7
2002-06-01,1711.699951
2002-03-01,1730.400024
2001-12-01,1753.0
2001-09-01,1722.493664
2001-06-01,1767.900024
2001-03-01,1777.699951
2000-12-01,1781.199951
2000-09-01,1800.0
2000-06-01,1809.800049
2000-03-01,1818.0
1999-12-01,1830.0
1999-09-01,1847.8
1999-06-01,1869.599976
1999-03-01,1870.599976
1998-12-01,1882.900024
1998-09-01,1910.0
1998-06-01,1909.0
1998-03-01,1928.599976
1997-12-01,1946.599976
1997-09-01,1979.145996
1997-06-01,2005.926025
1997-03-01,2015.384034
1996-12-01,2051.72412
1996-09-01,2091.191896
1996-06-01,2133.332031
1996-03-01,2164.516113
1995-12-01,2228.983888
1995-09-01,2209.600096
1995-06-01,2258.399902
1995-03-01,2301.600098
1994-12-01,2340.800049
1994-09-01,2350.0
1994-06-01,2345.199951
1994-03-01,2336.0
1993-12-01,2328.399902
1993-09-01,2318.800048
1993-06-01,2290.0
1993-03-01,2280.800049
1992-12-01,2282.399902
1992-09-01,2283.600096
1992-06-01,2283.199951
1992-03-01,2284.0
1991-12-01,2283.600098
1991-09-01,2285.251953
1991-06-01,2287.600098
1991-03-01,2290.0
1990-12-01,2288.0
1990-09-01,2284.887939
1990-06-01,2287.600098
1990-03-01,2293.199951
1989-12-01,2296.800049
1989-09-01,2303.600098
1989-06-01,2323.179932
1989-03-01,2320.3479
1988-12-01,2360.248047
1988-09-01,2364.736084
