DATE,PRICE
2018-06-01,151.21
2018-03-01,139.7
2017-12-01,153.43
2017-09-01,153.42
2017-06-01,145.08
2017-03-01,153.83
2016-12-01,174.14
2016-09-01,165.99
2016-06-01,158.85
2016-03-01,151.78
2015-12-01,151.45
2015-09-01,137.62
2015-06-01,144.97
2015-03-01,162.66
2014-12-01,160.5
2014-09-01,160.44
2014-06-01,189.83
2014-03-01,181.27
2013-12-01,192.49
2013-09-01,187.57
2013-06-01,185.18
2013-03-01,191.11
2012-12-01,213.3
2012-09-01,191.55
2012-06-01,207.45
2012-03-01,195.58
2011-12-01,208.65
2011-09-01,183.88
2011-06-01,174.87
2011-03-01,171.55
2010-12-01,163.07
2010-09-01,146.76
2010-06-01,134.14
2010-03-01,123.48
2009-12-01,128.25
2009-09-01,130.9
2009-06-01,119.61
2009-03-01,104.42
2008-12-01,96.89
2008-09-01,84.16
2008-06-01,116.96
2008-03-01,118.53
2007-12-01,115.14
2007-09-01,108.1
2007-06-01,117.8
2007-03-01,105.25
2006-12-01,94.26
2006-09-01,97.15
2006-06-01,81.94
2006-03-01,76.82
2005-12-01,82.47
2005-09-01,82.2
2005-06-01,80.22
2005-03-01,74.2
2004-12-01,91.38
2004-09-01,98.58
2004-06-01,85.74
2004-03-01,88.15
2003-12-01,91.84
2003-09-01,92.68
2003-06-01,88.33
2003-03-01,82.5
2002-12-01,78.43
2002-09-01,77.5
2002-06-01,58.31
2002-03-01,72.0
2001-12-01,104.0
2001-09-01,120.96
2001-06-01,91.72
2001-03-01,113.0
2000-12-01,96.18
2000-09-01,85.0
2000-06-01,112.625
2000-03-01,109.5625
1999-12-01,118.375
1999-09-01,107.875
1999-06-01,121.0
1999-03-01,129.25
1998-12-01,88.625
1998-09-01,92.1875
1998-06-01,64.25
1998-03-01,57.40625
1997-12-01,51.9375
1997-09-01,52.3125
1997-06-01,53.0
1997-03-01,45.125
1996-12-01,34.3125
1996-09-01,37.875
1996-06-01,31.125
1996-03-01,24.75
1995-12-01,27.8125
1995-09-01,22.84375
1995-06-01,23.625
1995-03-01,24.0
1994-12-01,20.53125
1994-09-01,18.375
1994-06-01,17.40625
1994-03-01,14.6875
1993-12-01,13.65625
1993-09-01,14.125
1993-06-01,10.5
1993-03-01,12.34375
1992-12-01,12.71875
1992-09-01,12.59375
1992-06-01,20.1875
1992-03-01,24.46875
1991-12-01,20.875
1991-09-01,22.25
1991-06-01,25.90625
1991-03-01,24.28125
1990-12-01,28.46875
1990-09-01,28.25
1990-06-01,26.59375
1990-03-01,29.375
1989-12-01,26.53125
1989-09-01,23.53125
1989-06-01,27.3125
1989-03-01,27.96875
1988-12-01,27.28125
1988-09-01,30.46875
