DATE,CAPEX,FREE_CASH_FLOW
2018-06-01,47.064,-737.475
2018-03-01,39.875,-558.114
2017-12-01,47.966,-284.723
2017-09-01,32.092,-520.049
2017-06-01,44.18,-463.787
2017-03-01,72.855,-607.383
2016-12-01,77.895,-421.751
2016-09-01,79.845,-637.005
2016-06-01,44.615,-506.556
2016-03-01,28.738,-255.031
2015-12-01,8.425,-237.015
2015-09-01,33.653,-278.398
2015-06-01,52.287,-248.256
2015-03-01,47.324,-228.667
2014-12-01,35.942,-163.324
2014-09-01,38.856,-77.317
2014-06-01,36.562,-74.001
2014-03-01,40.85,15.174
2013-12-01,28.248,8.111
2013-09-01,38.349,3.096
2013-06-01,26.299,8.394
2013-03-01,22.111,11.832
2012-12-01,33.311,-45.561
2012-09-01,39.494,-53.499
2012-06-01,19.394,-22.319
2012-03-01,71.315,-51.908
2011-12-01,18.294,0.815
2011-09-01,33.8,31.666
2011-06-01,34.906,14.625
2011-03-01,27.691,58.701
2010-12-01,38.439,77.884
2010-09-01,47.339,49.378
2010-06-01,7.342,34.885
2010-03-01,5.671,54.581
2009-12-01,43.295,33.91
2009-09-01,22.433,83.384
2009-06-01,9.994,68.317
2009-03-01,6.933,68.369
2008-12-01,6.772,59.061
2008-09-01,7.471,84.629
2008-06-01,9.226,51.269
2008-03-01,14.662,52.718
2007-12-01,12.431,51.631
2007-09-01,9.863,61.635
2007-06-01,7.412,70.251
2007-03-01,8.968,56.266
2006-12-01,18.013,45.016
2006-09-01,11.524,75.587
2006-06-01,5.231,56.231
2006-03-01,3.892,49.407
2005-12-01,3.461,54.138
2005-09-01,9.417,44.767
2005-06-01,5.46,31.695
2005-03-01,5.931,30.563
2004-12-01,6.845,22.598
2004-09-01,6.941,25.596
2004-06-01,4.165,45.103
2004-03-01,2.961,33.486
2003-12-01,1.808,31.992
2003-09-01,4.315,27.044
2003-06-01,1.596,20.39
2003-03-01,2.4,21.220001
2002-12-01,0.561,12.266
2002-09-01,1.188,13.231
2002-06-01,0.719,10.355
2002-03-01,0.749,7.367
2001-12-01,0.095,6.41
