DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-06-01,3999.374,3518.706,501.829,-24.025
2018-03-01,3907.27,3445.0570000000002,481.949,44.287
2017-12-01,3700.856,3254.278,465.619,9.492
2017-09-01,3285.755,3001.4519999999998,303.376,-54.187
2017-06-01,2984.859,2776.232,227.865,-13.353
2017-03-01,2785.464,2657.657,146.358,-51.638
2016-12-01,2636.635,2379.6929999999998,271.991,45.57
2016-09-01,2477.541,2323.607,168.123,23.521
2016-06-01,2290.188,2184.152,120.446,27.61
2016-03-01,2105.204,2034.8339999999998,84.501,10.477
2015-12-01,1957.736,1908.283,64.251,12.221
2015-09-01,1823.333,1763.4389999999999,75.382,-22.447
2015-06-01,1738.355,1664.714,89.688,12.806
2015-03-01,1644.694,1569.859,90.416,14.155
2014-12-01,1573.129,1475.673,112.623,14.73
2014-09-01,1484.728,1419.682,79.358,-37.855
2014-06-01,1409.432,1299.025,124.764,38.242
2014-03-01,1340.407,1210.807,142.577,46.354
2013-12-01,1270.089,1172.4940000000001,109.977,35.829
2013-09-01,1175.23,1092.942,95.133,25.583
2013-06-01,1105.999,1048.879,68.572,17.669
2013-03-01,1069.372,1012.255,69.143,17.178
2012-12-01,1023.961,992.139,43.873,-1.759
2012-09-01,945.239,925.601,31.601,7.007
2012-06-01,905.089,888.9540000000001,27.263,4.271
2012-03-01,889.163,873.009,27.201,4.491
2011-12-01,869.791,871.726,9.396,-2.441
2011-09-01,875.575,813.703,73.698,21.616
2011-06-01,821.839,724.997,108.755,31.163
2011-03-01,788.61,673.496,125.296,42.61
2010-12-01,718.553,616.313,112.066,38.007
2010-09-01,595.922,517.469,87.706,27.464
2010-06-01,553.219,484.95,76.947,27.442
2010-03-01,519.819,444.449,84.679,29.851
2009-12-01,493.665,435.31999999999994,69.204,22.086
2009-09-01,444.542,392.93399999999997,61.846,20.423
2009-06-01,423.12,375.387,57.351,20.33
2009-03-01,408.509,355.845,61.677,20.531
2008-12-01,394.098,358.724,44.549,15.048
2008-09-01,359.595,323.277,45.459,15.364
2008-06-01,341.269,308.823,41.089,14.562
2008-03-01,337.614,305.676,40.126,9.345
2007-12-01,326.183,311.706,21.061,9.203
2007-09-01,302.355,283.93,24.755,9.274
2007-06-01,293.972,274.577,25.34,10.851
2007-03-01,303.693,274.549,34.463,17.606
2006-12-01,305.32,295.01300000000003,14.932,6.701
2006-09-01,277.233,259.84900000000005,21.783,8.892
2006-06-01,255.95,240.037,20.004,8.961
2006-03-01,239.351,216.426,26.79,10.553
2005-12-01,224.126,219.344,8.403,2.83
2005-09-01,193.0,191.685,3.943,-33.801
2005-06-01,172.74,167.608,7.695,0.052
2005-03-01,164.027,159.68900000000002,6.874,0.013
2004-12-01,152.446,162.22899999999998,-7.391,0.044
2004-09-01,138.276,136.147,4.31,0.181
2004-06-01,141.644,123.24600000000001,40.87,0.0
2004-03-01,120.321,117.704,6.707,0.0
2003-12-01,100.37,106.72,-4.472,0.0
2003-09-01,81.185,79.652,15.431,0.0
2003-06-01,72.202,69.346,19.847,0.0
2003-03-01,63.187,60.339000999999996,14.188,0.0
2002-12-01,55.669,58.434,-0.623,0.0
2002-09-01,45.188,47.989,9.282,0.0
2002-06-01,40.731,44.161,6.239,0.0
2002-03-01,36.360001,38.587998999999996,4.027,0.0
2001-12-01,30.527,34.580999999999996,1.026,0.0
