DATE,WADS
2018-06-01,451.919
2018-03-01,451.552
2017-12-01,450.359
2017-09-01,448.142
2017-06-01,447.362
2017-03-01,446.262
2016-12-01,445.458
2016-09-01,440.063
2016-06-01,438.389
2016-03-01,438.154
2015-12-01,437.993
2015-09-01,438.257
2015-06-01,437.606
2015-03-01,436.097
2014-12-01,433.811
2014-09-01,432.516
2014-06-01,432.74
2014-03-01,431.438
2013-12-01,430.836
2013-09-01,429.128
2013-06-01,426.93
2013-03-01,424.13
2012-12-01,421.022
2012-09-01,413.903
2012-06-01,411.103
2012-03-01,411.663
2011-12-01,388.192
2011-09-01,388.073
2011-06-01,377.09
2011-03-01,377.363
2010-12-01,379.722
2010-09-01,379.358
2010-06-01,377.517
2010-03-01,380.268
2009-12-01,383.425
2009-09-01,388.353
2009-06-01,405.566
2009-03-01,417.62
2008-12-01,424.963
2008-09-01,422.177
2008-06-01,435.904
2008-03-01,446.999
2007-12-01,453.88
2007-09-01,469.294
2007-06-01,476.63
2007-03-01,489.237
2006-12-01,494.704
2006-09-01,494.69
2006-06-01,492.415
2006-03-01,484.225
2005-12-01,465.192
2005-09-01,438.487
2005-06-01,462.084
2005-03-01,452.144
2004-12-01,369.712
2004-09-01,452.067
2004-06-01,451.143
2004-03-01,454.825
2003-12-01,358.974
2003-09-01,449.974
2003-06-01,440.44
2003-03-01,431.368004
2002-12-01,417.004
2002-09-01,324.1
2002-06-01,306.908
2002-03-01,143.023994
2001-12-01,0.0
