DATE,PRICE
2018-06-01,374.13
2018-03-01,391.43
2017-12-01,295.35
2017-09-01,191.96
2017-06-01,181.35
2017-03-01,149.41
2016-12-01,147.81
2016-09-01,123.8
2016-06-01,98.55
2016-03-01,91.48
2015-12-01,102.23
2015-09-01,114.38
2015-06-01,103.26
2015-03-01,93.848571
2014-12-01,59.527143
2014-09-01,48.801429
2014-06-01,64.454286
2014-03-01,62.942857
2013-12-01,50.29
2013-09-01,52.595714
2013-06-01,44.172857
2013-03-01,30.155714
2012-12-01,27.04
2012-09-01,13.227143
2012-06-01,7.777143
2012-03-01,9.783571
2011-12-01,16.434286
2011-09-01,9.898571
2011-06-01,16.181429
2011-03-01,37.527143
2010-12-01,33.968571
2010-09-01,25.1
2010-06-01,23.165714
2010-03-01,15.521429
2009-12-01,10.534286
2009-09-01,7.87
2009-06-01,6.595714
2009-03-01,5.905714
2008-12-01,6.131429
2008-09-01,4.27
2008-06-01,4.411429
2008-03-01,3.724286
2007-12-01,4.95
2007-09-01,3.802857
2007-06-01,2.964268
2007-03-01,2.77
2006-12-01,3.312857
2006-09-01,3.694286
2006-06-01,3.254286
2006-03-01,3.887143
2005-12-01,4.141429
2005-09-01,3.865714
2005-06-01,3.712857
2005-03-01,2.344286
2004-12-01,1.55
2004-09-01,1.761429
2004-06-01,2.202857
2004-03-01,5.142857
2003-12-01,4.874286
2003-09-01,3.906429
2003-06-01,2.397143
2003-03-01,1.825
2002-12-01,1.453571
2002-09-01,0.786429
2002-06-01,0.692857
2002-03-01,0.999286
