DATE,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,WORKING_CAP,CHNG_WC,CASH_INVESTMENTS,DEBT
2018-06-01,27960,30711,-2751,-858.0,15534,35299
2018-03-01,31214,33107,-1893,735.0,18758,37733
2017-12-01,28096,30724,-2628,1088.0,16007,34214
2017-09-01,26494,30210,-3716,-519.0,15269,31592
2017-06-01,25885,29082,-3197,122.0,14327,30414
2017-03-01,25572,28891,-3319,-6089.0,13454,29467
2016-12-01,35171,32401,2770,-242.0,14071,31125
2016-09-01,33782,30770,3012,52.0,13348,30598
2016-06-01,34317,31357,2960,-1334.0,13819,32815
2016-03-01,36347,32053,4294,241.0,14277,31526
2015-12-01,35620,31567,4053,4197.0,12606,30487
2015-09-01,29646,29790,-144,175.0,11603,30345
2015-06-01,31562,31881,-319,655.0,13160,32439
2015-03-01,33178,34152,-974,1990.0,12251,34453
2014-12-01,29107,32071,-2964,-855.0,10846,33232
2014-09-01,31617,33726,-2109,1883.0,10686,35417
2014-06-01,28126,32118,-3992,-732.0,9752,36365
2014-03-01,27467,30727,-3260,3635.0,6929,35608
2013-12-01,26322,33217,-6895,-848.0,6122,34780
2013-09-01,23990,30037,-6047,-2933.0,5947,31543
2013-06-01,24298,27412,-3114,-2485.0,5876,32223
2013-03-01,25601,26230,-629,145.0,6643,33426
2012-12-01,24124,24898,-774,2223.0,5302,31877
2012-09-01,21910,24907,-2997,799.0,4436,29778
2012-06-01,23108,26904,-3796,2345.0,3991,33112
2012-03-01,23651,29792,-6141,-1298.0,4414,33388
2011-12-01,23125,27968,-4843,480.0,3582,33848
2011-09-01,21970,27293,-5323,-962.0,2768,32014
2011-06-01,21814,26175,-4361,1050.0,2946,31420
2011-03-01,21830,27241,-5411,1733.0,3249,32475
2010-12-01,20496,27640,-7144,-1644.0,2603,32976
2010-09-01,18782,24282,-5500,-3718.0,2879,29832
2010-06-01,21490,23272,-1782,133.0,4899,29976
2010-03-01,21761,23676,-1915,2242.0,4130,30089
2009-12-01,24517,28674,-4157,4839.0,6294,35396
2009-09-01,21905,30901,-8996,1825.0,4781,36972
2009-06-01,22008,32829,-10821,845.0,4434,38818
2009-03-01,25475,37141,-11666,1506.0,5653,41755
2008-12-01,25069,38241,-13172,-6729.0,4502,39447
2008-09-01,24515,30958,-6443,-922.0,3541,36665
2008-06-01,25742,31263,-5521,-1002.0,4078,36960
2008-03-01,26960,31479,-4519,1173.0,6045,37097
2007-12-01,25182,30874,-5692,994.0,4997,35770
2007-09-01,24031,30717,-6686,1521.0,5556,35414
2007-06-01,22714,30921,-8207,-1602.0,4230,33425
2007-03-01,24689,31294,-6605,-11521.0,5508,36183
