DATE,CAPEX,FREE_CASH_FLOW
2018-06-01,865,2443
2018-03-01,687,2916
2017-12-01,1012,2499
2017-09-01,994,2534
2017-06-01,670,2239
2017-03-01,648,2255
2016-12-01,501,2341
2016-09-01,973,2848
2016-06-01,766,2478
2016-03-01,649,3789
2015-12-01,494,3006
2015-09-01,491,2714
2015-06-01,753,2732
2015-03-01,132,2603
2014-12-01,-2138,2823
2014-09-01,731,3265
2014-06-01,892,3165
2014-03-01,925,2361
2013-12-01,725,1319
2013-09-01,1557,2810
2013-06-01,812,2965
2013-03-01,316,3125
2012-12-01,739,1965
2012-09-01,-1302,2672
2012-06-01,831,2933
2012-03-01,714,2381
2011-12-01,828,1334
2011-09-01,1104,2539
2011-06-01,743,3246
2011-03-01,729,2140
2010-12-01,505,1933
2010-09-01,1066,2226
2010-06-01,698,4204
2010-03-01,-2108,2572
2009-12-01,343,4003
2009-09-01,1089,3907
2009-06-01,658,3546
2009-03-01,250,1474
2008-12-01,154,2745
2008-09-01,1025,2619
2008-06-01,656,3447
2008-03-01,171,3206
2007-12-01,266,2690
2007-09-01,925,2633
2007-06-01,635,3693
2007-03-01,635,1781
2006-12-01,469,2383
2006-09-01,471,2189
2006-06-01,624,2802
2006-03-01,315,1947
2005-12-01,375,1770
2005-09-01,646,1295
2005-06-01,474,2151
2005-03-01,497,1553
2004-12-01,47,1499
2004-09-01,619,1730
2004-06-01,489,2457
2004-03-01,410,1909
2003-12-01,276,1242
2003-09-01,494,1446
2003-06-01,346,2062
2003-03-01,280,1981
2002-12-01,219,1729
2002-09-01,413,1856
2002-06-01,380,1698
2002-03-01,316,1532
2001-12-01,343,977
2001-09-01,516,1438
2001-06-01,404,866
2001-03-01,197,560
2000-12-01,581,454
2000-09-01,760,831
2000-06-01,496,773
2000-03-01,659,-610
1999-12-01,586,663
1999-09-01,894,1023
1999-06-01,804,838
1999-03-01,690,104
1998-12-01,440,751
1998-09-01,897,688
1998-06-01,591,874
1998-03-01,528,135
1997-12-01,543,629
1997-09-01,807,1066
1997-06-01,475,912
1997-03-01,447,732
1996-12-01,400,1043
1996-09-01,704,998
1996-06-01,483,848
1996-03-01,557,231
1995-12-01,435,-98
1995-09-01,821,227
1995-06-01,459,791
1995-03-01,521,158
1994-12-01,345,246
1994-09-01,0,0
1994-06-01,0,0
1994-03-01,0,0
1993-12-01,0,0
1993-09-01,0,0
1993-06-01,0,0
1993-03-01,0,0
1992-12-01,0,0
1992-09-01,0,0
1992-06-01,0,0
1992-03-01,0,0
1991-12-01,0,0
1991-09-01,0,0
1991-06-01,0,0
1991-03-01,0,0
1990-12-01,0,0
1990-09-01,0,0
1990-06-01,0,0
1990-03-01,0,0
1989-12-01,0,0
