DATE,REVENUE,OPEX,EBITDA,TAX_EXPENSE
2018-06-01,16281,12876.0,4121.0,713
2018-03-01,17395,13397.0,4674.0,1472
2017-12-01,16653,12904.0,4441.0,881
2017-09-01,16079,13040.0,3759.0,725
2017-06-01,15605,12263.0,4007.0,780
2017-03-01,16856,12814.0,4749.0,695
2016-12-01,16518,12734.0,4512.0,863
2016-09-01,16102,13651.0,3290.0,678
2016-06-01,15755,11938.0,4602.0,889
2016-03-01,16915,12883.0,4755.0,898
2015-12-01,16527,12221.0,5037.0,877
2015-09-01,16553,13940.0,3421.0,569
2015-06-01,16930,13383.0,4333.0,567
2015-03-01,18495,14019.612308,5221.387692,798
2014-12-01,20792,16583.0,5003.0,820
2014-09-01,19596,15890.018462,4529.981538,593
2014-06-01,19641,15756.18,4675.82,644
2014-03-01,21099,16624.0,5230.0,885
2013-12-01,20830,16581.0,5020.0,942
2013-09-01,20655,17349.255385,4099.744615,629
2013-06-01,20598,16652.298462,4685.701538,697
2013-03-01,22175,18388.093846,4524.906154,1142
2012-12-01,20739,16388.896923,5060.103077,973
2012-09-01,20212,16788.384615,4200.615385,692
2012-06-01,20194,16330.636923,4834.363077,754
2012-03-01,21744,17373.86,5083.14,977
2011-12-01,21530,17280.0,4993.0,1045
2011-09-01,20860,17575.0,4020.0,695
2011-06-01,19893,16188.0,4408.0,748
2011-03-01,21347,16994.686154,5063.313846,728
2010-12-01,20122,15621.0,5190.0,1201
2010-09-01,18926,15976.0,3730.0,432
2010-06-01,19178,15210.0,4767.0,1177
2010-03-01,21027,15940.207692,5844.792308,1335
2009-12-01,19807,15359.0,5219.0,1157
2009-09-01,18662,14898.433846,4617.566154,813
2009-06-01,17864,14167.710769000001,4421.289231,821
2009-03-01,19763,15659.218462,4796.781538,955
2008-12-01,20983,16547.161538,5245.838462,1212
2008-09-01,20885,17149.0,4632.0,497
2008-06-01,20026,16013.0,4780.0,1009
2008-03-01,21038,16448.0,5341.0,1200
2007-12-01,20199,15781.0,5170.0,1173
2007-09-01,19272,15872.0,4163.0,940
2007-06-01,18694,15048.0,4524.0,1024
2007-03-01,19725,15375.0,5055.0,1228
2006-12-01,18785,14731.0,4838.0,1178
2006-09-01,17842,14893.0,3685.0,813
2006-06-01,17250,13899.0,4084.0,918
2006-03-01,18337,14445.0,4602.0,1115
2005-12-01,14793,11736.0,3505.0,883
2005-09-01,14258,12102.0,2637.0,582
2005-06-01,14287,11745.0,3017.0,766
2005-03-01,14452,11470.0,3430.0,862
2004-12-01,13744,10955.0,3269.0,848
2004-09-01,12962,10823.0,2593.0,606
2004-06-01,13029,10726.0,2725.0,678
2004-03-01,13221,10479.0,3192.0,804
2003-12-01,12195,9552.0,3050.0,781
2003-09-01,10920,9451.0,1941.0,402
2003-06-01,10656,8699.0,2344.0,583
2003-03-01,11005,8757.0,2682.0,685
2002-12-01,10796,8617.0,2589.0,674
2002-09-01,10169,8771.0,1903.0,384
2002-06-01,9900,8246.0,2058.0,509
2002-03-01,10403,8539.0,2266.0,615
2001-12-01,9766,8004.0,2144.0,523
2001-09-01,9582,9638.0,782.0,127
2001-06-01,9511,8209.0,1759.0,432
2001-03-01,10182,8471.0,2184.0,587
2000-12-01,9969,8190.0,2282.0,548
2000-09-01,9661,8716.0,1548.0,369
2000-06-01,9783,8463.0,1827.0,438
2000-03-01,10588,8746.0,2405.0,589
1999-12-01,9919,8072.0,2365.0,598
1999-09-01,9450,8573.0,1769.0,376
1999-06-01,9231,7566.0,2080.0,510
1999-03-01,9934,8097.0,2279.0,589
1998-12-01,9510,7636.0,2273.0,600
1998-09-01,9277,8165.0,1537.0,327
1998-06-01,8881,7365.0,1915.0,471
1998-03-01,9641,7953.0,2074.0,548
1997-12-01,9355,7616.0,2127.0,582
1997-09-01,8948,7911.0,1512.0,385
1997-06-01,8771,7388.0,1728.0,449
1997-03-01,9142,7621.0,1859.0,488
1996-12-01,8903,7356.0,1876.0,512
1996-09-01,8580,7745.0,1218.0,313
1996-06-01,8587,7394.0,1517.0,387
1996-03-01,9090,7738.0,1680.0,445
1995-12-01,9027,7592.0,1758.0,478
1995-09-01,8494,7816.0,1017.0,195
1995-06-01,8318,7254.0,1375.0,307
1995-03-01,8485,7277.0,1507.0,409
1994-12-01,8177,6907.0,1574.0,444
1994-09-01,7503,6954.0,841.0,155
1994-06-01,7441,6518.0,1208.0,244
1994-03-01,7788,6765.0,1303.0,352
1993-12-01,7564,6479.0,1362.0,384
1993-09-01,7365,6908.0,778.0,-718
1993-06-01,7350,6583.0,1024.0,245
1993-03-01,7839,6925.0,1197.0,306
1992-12-01,7879,6856.0,1302.0,247
1992-09-01,7167,6753.0,687.0,158
1992-06-01,7483,6796.0,955.0,251
1992-03-01,7507,6639.0,1129.0,298
1991-12-01,7205,6307.0,1147.0,306
1991-09-01,6722,6311.0,643.0,137
1991-06-01,6795,6201.0,835.0,200
1991-03-01,6857,6058.0,1046.0,269
1990-12-01,6652,5754.0,1134.0,308
1990-09-01,6216,5750.0,695.0,125
1990-06-01,6123,5525.0,808.0,191
1990-03-01,6025,5571.0,668.0,193
1989-12-01,5717,4933.0,990.0,310
