DATE,WADS
2018-06-01,2645.6
2018-03-01,2669.6
2017-12-01,2690.6
2017-09-01,2695.6
2017-06-01,2705.5
2017-03-01,2737.6
2016-12-01,2822.9
2016-09-01,2811.0
2016-06-01,2835.0
2016-03-01,2864.6
2015-12-01,2867.5
2015-09-01,2878.5
2015-06-01,2882.5
2015-03-01,2885.2
2014-12-01,2888.0
2014-09-01,2891.9
2014-06-01,2894.1
2014-03-01,2908.5
2013-12-01,2924.3
2013-09-01,2937.1
2013-06-01,2930.7
2013-03-01,2919.1
2012-12-01,2931.7
2012-09-01,2930.0
2012-06-01,2937.8
2012-03-01,2949.7
2011-12-01,2945.8
2011-09-01,2983.6
2011-06-01,2999.3
2011-03-01,3000.2
2010-12-01,3025.6
2010-09-01,3068.9
2010-06-01,3103.9
2010-03-01,3118.5
2009-12-01,3109.6
2009-09-01,3096.7
2009-06-01,3104.6
2009-03-01,3170.8
2008-12-01,3239.5
2008-09-01,3270.1
2008-06-01,3301.2
2008-03-01,3341.5
2007-12-01,3354.2
2007-09-01,3378.2
2007-06-01,3397.3
2007-03-01,3406.5
2006-12-01,3413.3
2006-09-01,3437.3
2006-06-01,3510.5
2006-03-01,3547.0
2005-12-01,2649.7
2005-09-01,2700.2
2005-06-01,2730.3
2005-03-01,2752.1
2004-12-01,2766.1
2004-09-01,2772.9
2004-06-01,2790.0
2004-03-01,2800.8
2003-12-01,2797.7
2003-09-01,2799.2
2003-06-01,2791.6
2003-03-01,2805.2
2002-12-01,2814.6
2002-09-01,2824.2
2002-06-01,2811.4
2002-03-01,2803.0
2001-12-01,2801.6
2001-09-01,2794.0
2001-06-01,2809.8
2001-03-01,2822.0
2000-12-01,2821.6
2000-09-01,2823.8
2000-06-01,2853.4
2000-03-01,2870.0
1999-12-01,2870.4
1999-09-01,2866.6
1999-06-01,2896.6
1999-03-01,2902.8
1998-12-01,2909.0
1998-09-01,2919.199951
1998-06-01,2935.0
1998-03-01,2940.600098
1997-12-01,2947.800048
1997-09-01,2965.199952
1997-06-01,2972.399904
1997-03-01,2977.199952
1996-12-01,2981.199952
1996-09-01,2938.88
1996-06-01,2746.0
1996-03-01,2746.0
1995-12-01,2746.399904
1995-09-01,2744.0
1995-06-01,2742.800048
1995-03-01,2740.800048
1994-12-01,2738.800048
1994-09-01,2732.399904
1994-06-01,2730.800048
1994-03-01,2729.199952
1993-12-01,2728.0
1993-09-01,2721.600096
1993-06-01,2720.0
1993-03-01,2718.399904
1992-12-01,2716.399904
1992-09-01,2709.600096
1992-06-01,2708.0
1992-03-01,2706.399904
1991-12-01,2705.600096
1991-09-01,2731.063968
1991-06-01,2768.0
1991-03-01,2772.800049
1990-12-01,2772.0
1990-09-01,2768.927976
1990-06-01,2768.0
1990-03-01,2768.800049
1989-12-01,2768.800049
