DATE,PRICE
2018-06-01,79.28
2018-03-01,91.88
2017-12-01,90.98
2017-09-01,87.15
2017-06-01,89.85
2017-03-01,84.08
2016-12-01,89.75
2016-09-01,84.67
2016-06-01,82.31
2016-03-01,79.41
2015-12-01,71.94
2015-09-01,78.24
2015-06-01,81.94
2015-03-01,91.09
2014-12-01,83.74
2014-09-01,78.59
2014-06-01,80.6
2014-03-01,81.41
2013-12-01,75.59
2013-09-01,76.99
2013-06-01,77.06
2013-03-01,67.89
2012-12-01,69.36
2012-09-01,61.25
2012-06-01,67.21
2012-03-01,66.71
2011-12-01,63.18
2011-09-01,63.57
2011-06-01,61.6
2011-03-01,64.33
2010-12-01,59.97
2010-09-01,59.98
2010-06-01,63.27
2010-03-01,60.63
2009-12-01,57.92
2009-09-01,51.1
2009-06-01,47.09
2009-03-01,61.82
2008-12-01,69.69
2008-09-01,60.81
2008-06-01,70.07
2008-03-01,73.42
2007-12-01,70.34
2007-09-01,61.19
2007-06-01,63.16
2007-03-01,64.27
2006-12-01,61.98
2006-09-01,55.6
2006-06-01,57.63
2006-03-01,57.88
2005-12-01,59.46
2005-09-01,52.75
2005-06-01,53.0
2005-03-01,55.08
2004-12-01,54.12
2004-09-01,54.44
2004-06-01,52.44
2004-03-01,49.94
2003-12-01,46.41
2003-09-01,44.59
2003-06-01,44.525
2003-03-01,42.97
2002-12-01,44.69
2002-09-01,44.65
2002-06-01,45.045
2002-03-01,39.565
2001-12-01,36.395
2001-09-01,31.9
2001-06-01,31.3
2001-03-01,39.21875
2000-12-01,33.5
2000-09-01,28.375
2000-06-01,28.375
2000-03-01,54.78125
1999-12-01,46.875
1999-09-01,44.625
1999-06-01,48.96875
1999-03-01,45.65625
1998-12-01,35.5625
1998-09-01,45.53125
1998-06-01,42.1875
1998-03-01,39.90625
1997-12-01,34.53125
1997-09-01,35.3125
1997-06-01,28.6875
1997-03-01,26.90625
1996-12-01,24.375
1996-09-01,22.65625
1996-06-01,21.1875
1996-03-01,20.75
1995-12-01,19.25
1995-09-01,17.96875
1995-06-01,16.5625
1995-03-01,15.5
1994-12-01,14.90625
1994-09-01,13.34375
1994-06-01,13.375
1994-03-01,14.25
1993-12-01,11.875
1993-09-01,13.0
1993-06-01,12.46875
1993-03-01,13.40625
1992-12-01,12.34375
1992-09-01,11.5
1992-06-01,12.78125
1992-03-01,11.734375
1991-12-01,10.609375
1991-09-01,9.671875
1991-06-01,10.640625
1991-03-01,10.828125
1990-12-01,9.109375
1990-09-01,10.890625
1990-06-01,8.46875
1990-03-01,8.78125
1989-12-01,7.5
1989-09-01,6.773438
1989-06-01,5.78125
1989-03-01,5.4375
1988-12-01,5.0
1988-09-01,4.8125
